chapter,method,text,character,count
47,chapter_all_gpt-4o-mini_individual,Mr. Denny,Mr. Denny,0
47,chapter_all_gpt-4o-mini_individual,Mrs. Gardiner,Mrs. Gardiner,3
47,chapter_all_gpt-4o-mini_individual,Mary,Mary,6
47,chapter_all_gpt-4o-mini_individual,Colonel Forster,Colonel Forster,8
47,chapter_all_gpt-4o-mini_individual,Mrs. Forster,Mrs. Forster,1
47,chapter_all_gpt-4o-mini_individual,Lydia Bennet,Lydia,1
47,chapter_all_gpt-4o-mini_individual,Mr. Gardiner,Mr. Gardiner,3
47,chapter_all_gpt-4o-mini_individual,Mr. Darcy,Mr. Darcy,2
47,chapter_all_gpt-4o-mini_individual,Wickham,Wickham,11
47,chapter_all_gpt-4o-mini_individual,Mrs. Bennet,Mrs. Bennet,2
53,chapter_all_gpt-4o-mini_individual,Elizabeth,Elizabeth,15
53,chapter_all_gpt-4o-mini_individual,Lizzy,Elizabeth,1
53,chapter_all_gpt-4o-mini_individual,Lady Lucas,Lady Lucas,0
53,chapter_all_gpt-4o-mini_individual,Mr. Darcy,Mr. Darcy,5
53,chapter_all_gpt-4o-mini_individual,Mr. Bennet,Mr. Bennet,2
53,chapter_all_gpt-4o-mini_individual,Jane,Jane,12
53,chapter_all_gpt-4o-mini_individual,Miss Bennet,Jane,1
53,chapter_all_gpt-4o-mini_individual,Kitty,Kitty,2
53,chapter_all_gpt-4o-mini_individual,Miss Bingley,Miss Bingley,0
53,chapter_all_gpt-4o-mini_individual,Mr. Bingley,Mr. Bingley,10
53,chapter_all_gpt-4o-mini_individual,Mrs. Gardiner,Mrs. Gardiner,2
53,chapter_all_gpt-4o-mini_individual,Mrs. Philips,Mrs. Philips,1
53,chapter_all_gpt-4o-mini_individual,Sir William Lucas,Sir William Lucas,1
53,chapter_all_gpt-4o-mini_individual,Colonel Forster,Colonel Forster,0
53,chapter_all_gpt-4o-mini_individual,Mrs. Forster,Mrs. Forster,0
53,chapter_all_gpt-4o-mini_individual,Miss Lydia Bennet,Lydia,1
53,chapter_all_gpt-4o-mini_individual,Mr. Collins,Mr. Collins,0
53,chapter_all_gpt-4o-mini_individual,Mr. Wickham,Wickham,2
53,chapter_all_gpt-4o-mini_individual,Mrs. Bennet,Mrs. Bennet,9
45,chapter_all_gpt-4o-mini_individual,Elizabeth,Elizabeth,18
45,chapter_all_gpt-4o-mini_individual,Miss Eliza,Elizabeth,1
45,chapter_all_gpt-4o-mini_individual,Eliza Bennet,Elizabeth,1
45,chapter_all_gpt-4o-mini_individual,Miss Bingley,Miss Bingley,13
45,chapter_all_gpt-4o-mini_individual,Mr. Bingley,Mr. Bingley,0
45,chapter_all_gpt-4o-mini_individual,Wickham,Wickham,2
45,chapter_all_gpt-4o-mini_individual,Mr. Gardiner,Mr. Gardiner,1
45,chapter_all_gpt-4o-mini_individual,Mrs. Annesley,Mrs. Annesley,2
45,chapter_all_gpt-4o-mini_individual,Mr. Darcy,Mr. Darcy,5
45,chapter_all_gpt-4o-mini_individual,Mrs. Hurst,Mrs. Hurst,2
45,chapter_all_gpt-4o-mini_individual,Miss Darcy,Miss Darcy,6
45,chapter_all_gpt-4o-mini_individual,Georgiana,Miss Darcy,5
51,chapter_all_gpt-4o-mini_individual,Elizabeth,Elizabeth,15
51,chapter_all_gpt-4o-mini_individual,Miss Bennet,Elizabeth,2
51,chapter_all_gpt-4o-mini_individual,Mr. Bennet,Mr. Bennet,1
51,chapter_all_gpt-4o-mini_individual,Jane,Jane,7
51,chapter_all_gpt-4o-mini_individual,Mrs. Philips,Mrs. Philips,1
51,chapter_all_gpt-4o-mini_individual,Mrs. Gardiner,Mrs. Gardiner,0
51,chapter_all_gpt-4o-mini_individual,Lydia,Lydia,16
51,chapter_all_gpt-4o-mini_individual,Mr. Gardiner,Mr. Gardiner,0
51,chapter_all_gpt-4o-mini_individual,Mr. Darcy,Mr. Darcy,3
51,chapter_all_gpt-4o-mini_individual,Mr. Wickham,Wickham,1
51,chapter_all_gpt-4o-mini_individual,Mrs. Bennet,Mrs. Bennet,2
50,chapter_all_gpt-4o-mini_individual,Elizabeth,Elizabeth,3
50,chapter_all_gpt-4o-mini_individual,Mr. Bennet,Mr. Bennet,7
50,chapter_all_gpt-4o-mini_individual,Jane,Jane,2
50,chapter_all_gpt-4o-mini_individual,Colonel Forster,Colonel Forster,1
50,chapter_all_gpt-4o-mini_individual,Mrs. Forster,Mrs. Forster,1
50,chapter_all_gpt-4o-mini_individual,Miss Lydia Bennet,Lydia,1
50,chapter_all_gpt-4o-mini_individual,Mr. Gardiner,Mr. Gardiner,2
50,chapter_all_gpt-4o-mini_individual,Mr. Darcy,Mr. Darcy,2
50,chapter_all_gpt-4o-mini_individual,Mr. Wickham,Wickham,3
50,chapter_all_gpt-4o-mini_individual,Mrs. Bennet,Mrs. Bennet,8
44,chapter_all_gpt-4o-mini_individual,Elizabeth,Elizabeth,14
44,chapter_all_gpt-4o-mini_individual,Miss Bennet,Elizabeth,1
44,chapter_all_gpt-4o-mini_individual,Jane,Jane,2
44,chapter_all_gpt-4o-mini_individual,Mr. Bingley,Mr. Bingley,0
44,chapter_all_gpt-4o-mini_individual,Mrs. Gardiner,Mrs. Gardiner,4
44,chapter_all_gpt-4o-mini_individual,Mr. Gardiner,Mr. Gardiner,1
44,chapter_all_gpt-4o-mini_individual,Mr. Darcy,Mr. Darcy,9
44,chapter_all_gpt-4o-mini_individual,Wickham,Wickham,1
44,chapter_all_gpt-4o-mini_individual,Miss Darcy,Miss Darcy,6
44,chapter_all_gpt-4o-mini_individual,Georgiana,Miss Darcy,1
40,chapter_all_gpt-4o-mini_individual,Elizabeth,Elizabeth,6
40,chapter_all_gpt-4o-mini_individual,Lizzy,Elizabeth,4
40,chapter_all_gpt-4o-mini_individual,Miss Bennet,Elizabeth,2
40,chapter_all_gpt-4o-mini_individual,Mr. Darcy,Mr. Darcy,9
40,chapter_all_gpt-4o-mini_individual,Jane,Jane,9
40,chapter_all_gpt-4o-mini_individual,Miss Bennet,Jane,2
40,chapter_all_gpt-4o-mini_individual,Mr. Bingley,Mr. Bingley,0
40,chapter_all_gpt-4o-mini_individual,Mr. Collins,Mr. Collins,0
40,chapter_all_gpt-4o-mini_individual,George Wickham,Wickham,1
40,chapter_all_gpt-4o-mini_individual,Mrs. Bennet,Mrs. Bennet,1
54,chapter_all_gpt-4o-mini_individual,Elizabeth,Elizabeth,12
54,chapter_all_gpt-4o-mini_individual,Lizzy,Elizabeth,2
54,chapter_all_gpt-4o-mini_individual,Mrs. Long,Mrs. Long,2
54,chapter_all_gpt-4o-mini_individual,Mr. Bennet,Mr. Bennet,0
54,chapter_all_gpt-4o-mini_individual,Jane,Jane,5
54,chapter_all_gpt-4o-mini_individual,Miss Bennet,Jane,2
54,chapter_all_gpt-4o-mini_individual,Mr. Bingley,Mr. Bingley,0
54,chapter_all_gpt-4o-mini_individual,Mr. Darcy,Mr. Darcy,4
54,chapter_all_gpt-4o-mini_individual,Mrs. Bennet,Mrs. Bennet,4
54,chapter_all_gpt-4o-mini_individual,my dear Jane,Mrs. Bennet,1
55,chapter_all_gpt-4o-mini_individual,Elizabeth,Elizabeth,18
55,chapter_all_gpt-4o-mini_individual,Lizzy,Elizabeth,5
55,chapter_all_gpt-4o-mini_individual,Mr. Darcy,Mr. Darcy,1
55,chapter_all_gpt-4o-mini_individual,Mr. Bennet,Mr. Bennet,4
55,chapter_all_gpt-4o-mini_individual,Jane,Jane,19
55,chapter_all_gpt-4o-mini_individual,Miss Bennet,Jane,2
55,chapter_all_gpt-4o-mini_individual,Kitty,Kitty,9
55,chapter_all_gpt-4o-mini_individual,Catherine,Kitty,1
55,chapter_all_gpt-4o-mini_individual,Miss Bingley,Miss Bingley,1
55,chapter_all_gpt-4o-mini_individual,Mr. Bingley,Mr. Bingley,2
55,chapter_all_gpt-4o-mini_individual,Mary,Mary,2
55,chapter_all_gpt-4o-mini_individual,Lydia,Lydia,2
55,chapter_all_gpt-4o-mini_individual,Mr. Gardiner,Mr. Gardiner,0
55,chapter_all_gpt-4o-mini_individual,Mr. Collins,Mr. Collins,1
55,chapter_all_gpt-4o-mini_individual,Mrs. Bennet,Mrs. Bennet,9
41,chapter_all_gpt-4o-mini_individual,Elizabeth,Elizabeth,10
41,chapter_all_gpt-4o-mini_individual,Lizzy,Elizabeth,2
41,chapter_all_gpt-4o-mini_individual,Mr. Bennet,Mr. Bennet,2
41,chapter_all_gpt-4o-mini_individual,papa,Mr. Bennet,1
41,chapter_all_gpt-4o-mini_individual,father,Mr. Bennet,4
41,chapter_all_gpt-4o-mini_individual,Jane,Jane,2
41,chapter_all_gpt-4o-mini_individual,Colonel Fitzwilliam,Colonel Fitzwilliam,1
41,chapter_all_gpt-4o-mini_individual,Kitty,Kitty,6
41,chapter_all_gpt-4o-mini_individual,Colonel Forster,Colonel Forster,1
41,chapter_all_gpt-4o-mini_individual,Mrs. Forster,Colonel Forster,5
41,chapter_all_gpt-4o-mini_individual,Mrs. Forster,Mrs. Forster,5
41,chapter_all_gpt-4o-mini_individual,Lydia,Lydia,21
41,chapter_all_gpt-4o-mini_individual,Mr. Darcy,Mr. Darcy,4
41,chapter_all_gpt-4o-mini_individual,Wickham,Wickham,4
41,chapter_all_gpt-4o-mini_individual,Mrs. Bennet,Mrs. Bennet,3
57,chapter_all_gpt-4o-mini_individual,her Ladyship,Lady Catherine de Bourgh,2
57,chapter_all_gpt-4o-mini_individual,Lady Catherine’s,Lady Catherine de Bourgh,1
57,chapter_all_gpt-4o-mini_individual,Elizabeth,Elizabeth,11
57,chapter_all_gpt-4o-mini_individual,Lizzy,Elizabeth,6
57,chapter_all_gpt-4o-mini_individual,Lady Lucas,Lady Lucas,0
57,chapter_all_gpt-4o-mini_individual,Mr. Darcy,Mr. Darcy,4
57,chapter_all_gpt-4o-mini_individual,Mr. Bennet,Mr. Bennet,0
57,chapter_all_gpt-4o-mini_individual,Jane,Jane,1
57,chapter_all_gpt-4o-mini_individual,Miss Bingley,Miss Bingley,0
57,chapter_all_gpt-4o-mini_individual,Mr. Collins,Mr. Collins,4
57,chapter_all_gpt-4o-mini_individual,Mrs. Philips,Mrs. Philips,0
57,chapter_all_gpt-4o-mini_individual,Mrs. Gardiner,Mrs. Gardiner,0
57,chapter_all_gpt-4o-mini_individual,Mr. Hurst,Mr. Hurst,0
57,chapter_all_gpt-4o-mini_individual,Sir William Lucas,Sir William Lucas,0
57,chapter_all_gpt-4o-mini_individual,Lydia,Lydia,1
57,chapter_all_gpt-4o-mini_individual,Mr. Gardiner,Mr. Gardiner,0
57,chapter_all_gpt-4o-mini_individual,Charlotte Lucas,Charlotte Lucas,0
57,chapter_all_gpt-4o-mini_individual,Wickham,Wickham,1
57,chapter_all_gpt-4o-mini_individual,Mr. Philips,Mr. Philips,0
57,chapter_all_gpt-4o-mini_individual,Mrs. Bennet,Mrs. Bennet,1
43,chapter_all_gpt-4o-mini_individual,Elizabeth,Elizabeth,40
43,chapter_all_gpt-4o-mini_individual,Lizzy,Elizabeth,2
43,chapter_all_gpt-4o-mini_individual,Mr. Bennet,Mr. Bennet,0
43,chapter_all_gpt-4o-mini_individual,Mr. Bingley,Mr. Bingley,2
43,chapter_all_gpt-4o-mini_individual,Mrs. Gardiner,Mrs. Gardiner,12
43,chapter_all_gpt-4o-mini_individual,Mr. Gardiner,Mr. Gardiner,6
43,chapter_all_gpt-4o-mini_individual,Mr. Darcy,Mr. Darcy,10
43,chapter_all_gpt-4o-mini_individual,Mr. Wickham,Wickham,2
43,chapter_all_gpt-4o-mini_individual,Miss Darcy,Miss Darcy,7
42,chapter_all_gpt-4o-mini_individual,Elizabeth,Elizabeth,10
42,chapter_all_gpt-4o-mini_individual,Mr. Bennet,Mr. Bennet,1
42,chapter_all_gpt-4o-mini_individual,Jane,Jane,2
42,chapter_all_gpt-4o-mini_individual,Kitty,Kitty,5
42,chapter_all_gpt-4o-mini_individual,Mrs. Gardiner,Mrs. Gardiner,6
42,chapter_all_gpt-4o-mini_individual,Lydia,Lydia,1
42,chapter_all_gpt-4o-mini_individual,Mr. Gardiner,Mr. Gardiner,2
42,chapter_all_gpt-4o-mini_individual,Mr. Darcy,Mr. Darcy,1
42,chapter_all_gpt-4o-mini_individual,Wickham,Wickham,2
42,chapter_all_gpt-4o-mini_individual,Mrs. Bennet,Mrs. Bennet,1
56,chapter_all_gpt-4o-mini_individual,Lady Catherine de Bourgh,Lady Catherine de Bourgh,1
56,chapter_all_gpt-4o-mini_individual,your Ladyship,Lady Catherine de Bourgh,6
56,chapter_all_gpt-4o-mini_individual,her Ladyship,Lady Catherine de Bourgh,6
56,chapter_all_gpt-4o-mini_individual,Elizabeth,Elizabeth,20
56,chapter_all_gpt-4o-mini_individual,Miss Bennet,Elizabeth,12
56,chapter_all_gpt-4o-mini_individual,Mr. Darcy,Mr. Darcy,6
56,chapter_all_gpt-4o-mini_individual,Kitty,Kitty,1
56,chapter_all_gpt-4o-mini_individual,Mr. Collins,Mr. Collins,0
56,chapter_all_gpt-4o-mini_individual,Bingley,Mr. Bingley,2
56,chapter_all_gpt-4o-mini_individual,Miss de Bourgh,Miss de Bourgh,2
56,chapter_all_gpt-4o-mini_individual,Charlotte,Charlotte Lucas,1
56,chapter_all_gpt-4o-mini_individual,Mrs. Bennet,Mrs. Bennet,5
56,chapter_all_gpt-4o-mini_individual,my Lady,Mrs. Bennet,1
19,chapter_all_gpt-4o-mini_individual,Lady Catherine de Bourgh,Lady Catherine de Bourgh,1
19,chapter_all_gpt-4o-mini_individual,her Ladyship,Lady Catherine de Bourgh,1
19,chapter_all_gpt-4o-mini_individual,Lizzy,Elizabeth,3
19,chapter_all_gpt-4o-mini_individual,Miss Elizabeth,Elizabeth,1
19,chapter_all_gpt-4o-mini_individual,Mr. Bennet,Mr. Bennet,0
19,chapter_all_gpt-4o-mini_individual,your honoured father,Mr. Bennet,1
19,chapter_all_gpt-4o-mini_individual,Mr. Collins,Mr. Collins,11
19,chapter_all_gpt-4o-mini_individual,my dear cousin,Mr. Collins,1
19,chapter_all_gpt-4o-mini_individual,Mrs. Bennet,Mrs. Bennet,3
19,chapter_all_gpt-4o-mini_individual,your respected mother,Mrs. Bennet,1
31,chapter_all_gpt-4o-mini_individual,Lady Catherine,Lady Catherine de Bourgh,8
31,chapter_all_gpt-4o-mini_individual,her Ladyship,Lady Catherine de Bourgh,3
31,chapter_all_gpt-4o-mini_individual,Miss Bennet,Elizabeth,3
31,chapter_all_gpt-4o-mini_individual,Elizabeth,Elizabeth,10
31,chapter_all_gpt-4o-mini_individual,Colonel Fitzwilliam,Colonel Fitzwilliam,8
31,chapter_all_gpt-4o-mini_individual,Mr. Darcy,Mr. Darcy,7
31,chapter_all_gpt-4o-mini_individual,Georgiana,Miss Darcy,1
31,chapter_all_gpt-4o-mini_individual,Miss Darcy,Miss Darcy,0
31,chapter_all_gpt-4o-mini_individual,Anne,Miss Darcy,5
25,chapter_all_gpt-4o-mini_individual,Lizzy,Elizabeth,2
25,chapter_all_gpt-4o-mini_individual,Elizabeth,Elizabeth,7
25,chapter_all_gpt-4o-mini_individual,Lady Lucas,Lady Lucas,1
25,chapter_all_gpt-4o-mini_individual,Mr. Darcy,Mr. Darcy,4
25,chapter_all_gpt-4o-mini_individual,Fitzwilliam Darcy,Mr. Darcy,1
25,chapter_all_gpt-4o-mini_individual,Jane,Jane,9
25,chapter_all_gpt-4o-mini_individual,Mr. Collins,Mr. Collins,2
25,chapter_all_gpt-4o-mini_individual,Mr. Bingley,Mr. Bingley,4
25,chapter_all_gpt-4o-mini_individual,Mrs. Gardiner,Mrs. Gardiner,7
25,chapter_all_gpt-4o-mini_individual,Mr. Gardiner,Mr. Gardiner,1
25,chapter_all_gpt-4o-mini_individual,Charlotte Lucas,Charlotte Lucas,0
25,chapter_all_gpt-4o-mini_individual,Mr. Wickham,Wickham,1
25,chapter_all_gpt-4o-mini_individual,Mrs. Bennet,Mrs. Bennet,4
1,chapter_all_gpt-4o-mini_individual,Lizzy,Elizabeth,3
1,chapter_all_gpt-4o-mini_individual,Mrs. Long,Mrs. Long,2
1,chapter_all_gpt-4o-mini_individual,Lady Lucas,Lady Lucas,1
1,chapter_all_gpt-4o-mini_individual,Mr. Bennet,Mr. Bennet,6
1,chapter_all_gpt-4o-mini_individual,Jane,Jane,1
1,chapter_all_gpt-4o-mini_individual,Mr. Bingley,Mr. Bingley,3
1,chapter_all_gpt-4o-mini_individual,Sir William Lucas,Sir William Lucas,0
1,chapter_all_gpt-4o-mini_individual,Mr. Morris,Mr. Morris,1
1,chapter_all_gpt-4o-mini_individual,Lydia,Lydia,1
1,chapter_all_gpt-4o-mini_individual,Mrs. Bennet,Mrs. Bennet,0
24,chapter_all_gpt-4o-mini_individual,Elizabeth,Elizabeth,9
24,chapter_all_gpt-4o-mini_individual,Lizzy,Elizabeth,3
24,chapter_all_gpt-4o-mini_individual,Miss Bennet,Elizabeth,2
24,chapter_all_gpt-4o-mini_individual,Mr. Darcy,Mr. Darcy,4
24,chapter_all_gpt-4o-mini_individual,Jane,Jane,13
24,chapter_all_gpt-4o-mini_individual,Miss Bennet,Jane,2
24,chapter_all_gpt-4o-mini_individual,Miss Bingley,Miss Bingley,1
24,chapter_all_gpt-4o-mini_individual,Caroline,Miss Bingley,2
24,chapter_all_gpt-4o-mini_individual,Mr. Bingley,Mr. Bingley,3
24,chapter_all_gpt-4o-mini_individual,Mr. Collins,Mr. Collins,2
24,chapter_all_gpt-4o-mini_individual,Charlotte Lucas,Charlotte Lucas,1
24,chapter_all_gpt-4o-mini_individual,Mr. Wickham,Wickham,1
24,chapter_all_gpt-4o-mini_individual,Miss Darcy,Miss Darcy,3
24,chapter_all_gpt-4o-mini_individual,Mrs. Bennet,Mrs. Bennet,3
24,chapter_all_gpt-4o-mini_individual,dear mother,Mrs. Bennet,1
30,chapter_all_gpt-4o-mini_individual,Lady Catherine,Lady Catherine de Bourgh,4
30,chapter_all_gpt-4o-mini_individual,her Ladyship,Lady Catherine de Bourgh,1
30,chapter_all_gpt-4o-mini_individual,Miss De Bourgh,Lady Catherine de Bourgh,1
30,chapter_all_gpt-4o-mini_individual,Elizabeth,Elizabeth,9
30,chapter_all_gpt-4o-mini_individual,Mr. Darcy,Mr. Darcy,4
30,chapter_all_gpt-4o-mini_individual,Miss Bennet,Jane,1
30,chapter_all_gpt-4o-mini_individual,Colonel Fitzwilliam,Colonel Fitzwilliam,3
30,chapter_all_gpt-4o-mini_individual,Miss Bingley,Miss Bingley,1
30,chapter_all_gpt-4o-mini_individual,Mr. Collins,Mr. Collins,7
30,chapter_all_gpt-4o-mini_individual,Sir William,Sir William Lucas,3
30,chapter_all_gpt-4o-mini_individual,Charlotte,Charlotte Lucas,5
30,chapter_all_gpt-4o-mini_individual,Miss Lucas,Charlotte Lucas,1
18,chapter_all_gpt-4o-mini_individual,Elizabeth,Elizabeth,26
18,chapter_all_gpt-4o-mini_individual,Miss Eliza,Elizabeth,4
18,chapter_all_gpt-4o-mini_individual,Lady Lucas,Lady Lucas,4
18,chapter_all_gpt-4o-mini_individual,Miss Lucas,Lady Lucas,2
18,chapter_all_gpt-4o-mini_individual,Mr. Darcy,Mr. Darcy,32
18,chapter_all_gpt-4o-mini_individual,Mr. Bennet,Mr. Bennet,2
18,chapter_all_gpt-4o-mini_individual,Jane,Jane,12
18,chapter_all_gpt-4o-mini_individual,Miss Bingley,Miss Bingley,3
18,chapter_all_gpt-4o-mini_individual,Mr. Collins,Mr. Collins,12
18,chapter_all_gpt-4o-mini_individual,Mr. Bingley,Mr. Bingley,12
18,chapter_all_gpt-4o-mini_individual,Mr. Denny,Mr. Denny,1
18,chapter_all_gpt-4o-mini_individual,Mary,Mary,7
18,chapter_all_gpt-4o-mini_individual,Sir William Lucas,Sir William Lucas,1
18,chapter_all_gpt-4o-mini_individual,Lydia,Lydia,3
18,chapter_all_gpt-4o-mini_individual,Charlotte Lucas,Charlotte Lucas,2
18,chapter_all_gpt-4o-mini_individual,George Wickham,Wickham,3
18,chapter_all_gpt-4o-mini_individual,Mrs. Bennet,Mrs. Bennet,7
26,chapter_all_gpt-4o-mini_individual,Jane,Jane,7
26,chapter_all_gpt-4o-mini_individual,Miss Bingley,Miss Bingley,4
26,chapter_all_gpt-4o-mini_individual,Caroline,Miss Bingley,4
26,chapter_all_gpt-4o-mini_individual,Mr. Collins,Mr. Collins,2
26,chapter_all_gpt-4o-mini_individual,Miss Darcy,Miss Darcy,2
26,chapter_all_gpt-4o-mini_individual,Mr. Wickham,Wickham,3
26,chapter_all_gpt-4o-mini_individual,Mrs. Bennet,Mrs. Bennet,1
26,chapter_all_gpt-4o-mini_individual,Kitty,Kitty,1
26,chapter_all_gpt-4o-mini_individual,Mrs. Gardiner,Mrs. Gardiner,3
26,chapter_all_gpt-4o-mini_individual,aunt,Mrs. Gardiner,7
26,chapter_all_gpt-4o-mini_individual,Lydia,Lydia,1
26,chapter_all_gpt-4o-mini_individual,Mr. Darcy,Mr. Darcy,3
26,chapter_all_gpt-4o-mini_individual,Elizabeth,Elizabeth,17
26,chapter_all_gpt-4o-mini_individual,Lizzy,Elizabeth,2
26,chapter_all_gpt-4o-mini_individual,Mr. Bingley,Mr. Bingley,1
26,chapter_all_gpt-4o-mini_individual,Miss King,Miss King,1
26,chapter_all_gpt-4o-mini_individual,Sir William Lucas,Sir William Lucas,0
26,chapter_all_gpt-4o-mini_individual,Mr. Gardiner,Mr. Gardiner,0
26,chapter_all_gpt-4o-mini_individual,Charlotte,Charlotte Lucas,5
26,chapter_all_gpt-4o-mini_individual,Miss Lucas,Charlotte Lucas,1
32,chapter_all_gpt-4o-mini_individual,Lady Catherine,Lady Catherine de Bourgh,3
32,chapter_all_gpt-4o-mini_individual,Mr. Darcy,Mr. Darcy,7
32,chapter_all_gpt-4o-mini_individual,Jane,Jane,2
32,chapter_all_gpt-4o-mini_individual,Colonel Fitzwilliam,Colonel Fitzwilliam,4
32,chapter_all_gpt-4o-mini_individual,Mr. Collins,Mr. Collins,3
32,chapter_all_gpt-4o-mini_individual,Mr. Bingley,Mr. Bingley,3
32,chapter_all_gpt-4o-mini_individual,Charlotte Lucas,Charlotte Lucas,0
32,chapter_all_gpt-4o-mini_individual,Mrs. Collins,Mrs. Bennet,5
32,chapter_all_gpt-4o-mini_individual,Mrs. Bennet,Mrs. Bennet,0
3,chapter_all_gpt-4o-mini_individual,Elizabeth Bennet,Elizabeth,1
3,chapter_all_gpt-4o-mini_individual,Lizzy,Elizabeth,2
3,chapter_all_gpt-4o-mini_individual,Lady Lucas,Lady Lucas,2
3,chapter_all_gpt-4o-mini_individual,Mr. Bennet,Mr. Bennet,4
3,chapter_all_gpt-4o-mini_individual,Jane,Jane,5
3,chapter_all_gpt-4o-mini_individual,Catherine,Kitty,1
3,chapter_all_gpt-4o-mini_individual,Kitty,Kitty,0
3,chapter_all_gpt-4o-mini_individual,Miss Bingley,Miss Bingley,2
3,chapter_all_gpt-4o-mini_individual,Mr. Bingley,Mr. Bingley,13
3,chapter_all_gpt-4o-mini_individual,Mr. Hurst,Mr. Hurst,1
3,chapter_all_gpt-4o-mini_individual,Mary,Mary,1
3,chapter_all_gpt-4o-mini_individual,the most accomplished girl,Mary,1
3,chapter_all_gpt-4o-mini_individual,Sir William Lucas,Sir William Lucas,0
3,chapter_all_gpt-4o-mini_individual,Lydia,Lydia,1
3,chapter_all_gpt-4o-mini_individual,Mr. Darcy,Mr. Darcy,6
3,chapter_all_gpt-4o-mini_individual,Miss King,Maria Lucas,1
3,chapter_all_gpt-4o-mini_individual,Maria Lucas,Maria Lucas,1
3,chapter_all_gpt-4o-mini_individual,Mrs. Bennet,Mrs. Bennet,7
2,chapter_all_gpt-4o-mini_individual,Elizabeth,Elizabeth,1
2,chapter_all_gpt-4o-mini_individual,Lizzy,Elizabeth,2
2,chapter_all_gpt-4o-mini_individual,Mrs. Long,Mrs. Long,4
2,chapter_all_gpt-4o-mini_individual,Mr. Bennet,Mr. Bennet,6
2,chapter_all_gpt-4o-mini_individual,Kitty,Kitty,4
2,chapter_all_gpt-4o-mini_individual,Mr. Bingley,Mr. Bingley,7
2,chapter_all_gpt-4o-mini_individual,Mary,Mary,3
2,chapter_all_gpt-4o-mini_individual,Lydia,Lydia,2
2,chapter_all_gpt-4o-mini_individual,Mrs. Bennet,Mrs. Bennet,3
33,chapter_all_gpt-4o-mini_individual,Mr. Darcy,Mr. Darcy,11
33,chapter_all_gpt-4o-mini_individual,Jane’s,Jane,1
33,chapter_all_gpt-4o-mini_individual,Colonel Fitzwilliam,Colonel Fitzwilliam,5
33,chapter_all_gpt-4o-mini_individual,Miss Bingley,Miss Bingley,2
33,chapter_all_gpt-4o-mini_individual,Mr. Bingley,Mr. Bingley,3
33,chapter_all_gpt-4o-mini_individual,Mr. Collins’s,Mr. Collins,0
