chapter,method,text,character
46,chapter_all_gpt-4o-mini_individual,"on finishing this letter, instantly seized the other, and opening it with the utmost impatience",Elizabeth
46,chapter_all_gpt-4o-mini_individual,in whose mind every idea was superseded by Lydia’s situation,Elizabeth
46,chapter_all_gpt-4o-mini_individual,"unable to support herself, and looking so miserably ill",Elizabeth
46,chapter_all_gpt-4o-mini_individual,burst into tears as she alluded to it,Elizabeth
46,chapter_all_gpt-4o-mini_individual,felt how little would be gained by her attempting to pursue them,Elizabeth
46,chapter_all_gpt-4o-mini_individual,was soon lost to everything else,Elizabeth
46,chapter_all_gpt-4o-mini_individual,her power was sinking; everything must sink under such a proof of family weakness,Elizabeth
46,chapter_all_gpt-4o-mini_individual,could neither wonder nor condemn,Elizabeth
46,chapter_all_gpt-4o-mini_individual,All love must be vain,Elizabeth
46,chapter_all_gpt-4o-mini_individual,found additional anguish as she reflected on that wretched business,Elizabeth
46,chapter_all_gpt-4o-mini_individual,Never since reading Jane’s second letter had she entertained a hope of Wickham’s meaning to marry her,Elizabeth
46,chapter_all_gpt-4o-mini_individual,the mischief of neglect and mistaken indulgence towards such a girl--oh! how acutely did she now feel it!,Elizabeth
46,chapter_all_gpt-4o-mini_individual,was wild to be at home,Elizabeth
46,chapter_all_gpt-4o-mini_individual,the misery of her impatience was severe,Elizabeth
46,chapter_all_gpt-4o-mini_individual,wrote the direction remarkably ill,Jane
46,chapter_all_gpt-4o-mini_individual,apologizing for her family's distress,Jane
46,chapter_all_gpt-4o-mini_individual,could not think so ill of him,Jane
46,chapter_all_gpt-4o-mini_individual,expressed her grief for Colonel F. and Mrs. F.,Jane
46,chapter_all_gpt-4o-mini_individual,her distress is very great,Jane
46,chapter_all_gpt-4o-mini_individual,relied upon her uncle’s goodness,Jane
46,chapter_all_gpt-4o-mini_individual,promised every assistance in his power,Mr. Gardiner
46,chapter_all_gpt-4o-mini_individual,was fixed in astonishment,Mr. Darcy
46,chapter_all_gpt-4o-mini_individual,"was grieved, indeed",Mr. Darcy
46,chapter_all_gpt-4o-mini_individual,"seemed scarcely to hear her, and was walking up and down the room in earnest meditation; his brow contracted, his air gloomy",Mr. Darcy
47,chapter_all_gpt-4o-mini_individual,brightening up for a moment,Elizabeth
47,chapter_all_gpt-4o-mini_individual,"with tears in her eyes, lost not a moment",Elizabeth
47,chapter_all_gpt-4o-mini_individual,"from Elizabeth’s thoughts it was never absent. Fixed there by the keenest of all anguish, self-reproach, she could find no interval of ease or forgetfulness",Elizabeth
47,chapter_all_gpt-4o-mini_individual,was a comfort to Elizabeth to consider that Jane could not have been wearied by long expectations,Elizabeth
47,chapter_all_gpt-4o-mini_individual,lost all faith in Lydia's virtue,Elizabeth
47,chapter_all_gpt-4o-mini_individual,considered as all but certain,Elizabeth
47,chapter_all_gpt-4o-mini_individual,overcome with anxiety for her sister's safety,Elizabeth
47,chapter_all_gpt-4o-mini_individual,still expected that it would all end well,Jane
47,chapter_all_gpt-4o-mini_individual,gave something more of fretfulness than usual to the accents of Kitty,Kitty
47,chapter_all_gpt-4o-mini_individual,began to be of your uncle’s opinion,Mrs. Gardiner
47,chapter_all_gpt-4o-mini_individual,worried about the wellbeing of her niece,Mrs. Gardiner
47,chapter_all_gpt-4o-mini_individual,"was mistress enough of herself to whisper to Elizabeth, with a countenance of grave reflection",Mary
47,chapter_all_gpt-4o-mini_individual,continued to console herself with such kind of moral extractions from the evil before them,Mary
47,chapter_all_gpt-4o-mini_individual,thoughtless and whimsical in her actions,Lydia
47,chapter_all_gpt-4o-mini_individual,"received them exactly as might be expected; with tears and lamentations of regret, invectives against the villainous conduct of Wickham, and complaints of her own sufferings and ill-usage",Mrs. Bennet
47,chapter_all_gpt-4o-mini_individual,"was frightened out of my wits; and have such tremblings, such flutterings all over me",Mrs. Bennet
53,chapter_all_gpt-4o-mini_individual,She was pleased to find that she had said enough to keep him quiet.,Elizabeth
53,chapter_all_gpt-4o-mini_individual,"She sometimes thought, 'yet it is hard that this poor man cannot come to a house, which he has legally hired, without raising all this speculation! I will leave him to himself.'",Elizabeth
53,chapter_all_gpt-4o-mini_individual,"In spite of what her sister declared, and really believed to be her feelings, in the expectation of his arrival, Elizabeth could easily perceive that her spirits were affected by it.",Elizabeth
53,chapter_all_gpt-4o-mini_individual,"Elizabeth particularly, who knew that her mother owed to the latter the preservation of her favourite daughter from irremediable infamy, was hurt and distressed to a most painful degree by a distinction so ill applied.",Elizabeth
53,chapter_all_gpt-4o-mini_individual,"She was disappointed, and angry with herself for being so.",Elizabeth
53,chapter_all_gpt-4o-mini_individual,She was in no humour for conversation with anyone but himself; and to him she had hardly courage to speak.,Elizabeth
53,chapter_all_gpt-4o-mini_individual,"Elizabeth's misery increased at such unnecessary, such officious attention! Were the same fair prospect to arise at present, as had flattered them a year ago, everything, she was persuaded, would be hastening to the same vexatious conclusion.",Elizabeth
53,chapter_all_gpt-4o-mini_individual,At that instant she felt that years of happiness could not make Jane or herself amends for moments of such painful confusion.,Elizabeth
53,chapter_all_gpt-4o-mini_individual,The first wish of my heart is never more to be in company with either of them. Their society can afford no pleasure that will atone for such wretchedness as this! Let me never see either one or the other again!,Elizabeth
53,chapter_all_gpt-4o-mini_individual,Elizabeth could not answer without confusion.,Elizabeth
53,chapter_all_gpt-4o-mini_individual,"He looked serious as usual; and, she thought, more as he had been used to look in Hertfordshire, than as she had seen him at Pemberley.",Mr. Darcy
53,chapter_all_gpt-4o-mini_individual,"It was a painful, but not an improbable, conjecture.",Mr. Darcy
53,chapter_all_gpt-4o-mini_individual,"He is as fine a fellow, said Mr. Bennet, as ever I saw.",Mr. Bennet
53,chapter_all_gpt-4o-mini_individual,"It was many months since she had mentioned his name to Elizabeth; but now, as soon as they were alone together, she said, 'I saw you look at me to-day, Lizzy, when my aunt told us of the present report; and I know I appeared distressed; but don't imagine it was from any silly cause.'",Jane
53,chapter_all_gpt-4o-mini_individual,"Jane resolutely kept her place at the table; but Elizabeth, to satisfy her mother, went to the window.",Jane
53,chapter_all_gpt-4o-mini_individual,"Her colour increased; yet she received them with tolerable ease, and with a propriety of behaviour equally free from any symptom of resentment, or any unnecessary complaisance.",Jane
53,chapter_all_gpt-4o-mini_individual,Kitty eagerly called her daughters to partake of her joy.,Kitty
53,chapter_all_gpt-4o-mini_individual,"Kitty asked, 'who can it be?' about the gentleman accompanying Mr. Bingley.",Kitty
53,chapter_all_gpt-4o-mini_individual,Bingley looked a little silly at this reflection.,Mr. Bingley
53,chapter_all_gpt-4o-mini_individual,The loss of her daughter made Mrs. Bennet very dull for several days.,Mrs. Bennet
53,chapter_all_gpt-4o-mini_individual,"She looked at Jane, and smiled, and shook her head, by turns.",Mrs. Bennet
53,chapter_all_gpt-4o-mini_individual,Mrs. Bennet was quite in the fidgets.,Mrs. Bennet
53,chapter_all_gpt-4o-mini_individual,She began to be sorry that he comes at all.,Mrs. Bennet
53,chapter_all_gpt-4o-mini_individual,She was determined to invite Bingley to dinner.,Mrs. Bennet
53,chapter_all_gpt-4o-mini_individual,"Consoled by this resolution, she was the better able to bear her husband's incivility.",Mrs. Bennet
45,chapter_all_gpt-4o-mini_individual,"Convinced as Elizabeth now was that Miss Bingley’s dislike of her had originated in jealousy, she could not help feeling how very unwelcome her appearance at Pemberley must be to her, and was curious to know with how much civility on that lady’s side the acquaintance would now be renewed.",Elizabeth
45,chapter_all_gpt-4o-mini_individual,"she expected every moment that some of the gentlemen would enter the room: she wished, she feared, that the master of the house might be amongst them; and whether she wished or feared it most, she could scarcely determine.",Elizabeth
45,chapter_all_gpt-4o-mini_individual,her own thoughts were employing her.,Elizabeth
45,chapter_all_gpt-4o-mini_individual,"Elizabeth soon saw that she was herself closely watched by Miss Bingley, and that she could not speak a word, especially to Miss Darcy, without calling her attention.",Elizabeth
45,chapter_all_gpt-4o-mini_individual,she was not sorry to be spared the necessity of saying much,Elizabeth
45,chapter_all_gpt-4o-mini_individual,"Elizabeth had a fair opportunity of deciding whether she most feared or wished for the appearance of Mr. Darcy, by the feelings which prevailed on his entering the room; and then, though but a moment before she had believed her wishes to predominate, she began to regret that he came.",Elizabeth
45,chapter_all_gpt-4o-mini_individual,"as Miss Bingley, vexed and disappointed, dared not approach nearer to Wickham, Georgiana also recovered in time, though not enough to be able to speak any more.",Elizabeth
45,chapter_all_gpt-4o-mini_individual,"her collected behaviour, however, soon quieted his emotion.",Elizabeth
45,chapter_all_gpt-4o-mini_individual,was longing to know what Mrs. Gardiner thought of him,Elizabeth
45,chapter_all_gpt-4o-mini_individual,"In no countenance was attentive curiosity so strongly marked as in Miss Bingley’s, in spite of the smiles which overspread her face whenever she spoke to one of its objects; for jealousy had not yet made her desperate, and her attentions to Mr. Darcy were by no means over.",Miss Bingley
45,chapter_all_gpt-4o-mini_individual,"she had merely intended to discompose Elizabeth, by bringing forward the idea of a man to whom she believed her partial, to make her betray a sensibility which might injure her in Darcy’s opinion, and, perhaps, to remind the latter of all the follies and absurdities by which some part of her family were connected with that corps.",Miss Bingley
45,chapter_all_gpt-4o-mini_individual,vexed and disappointed,Miss Bingley
45,chapter_all_gpt-4o-mini_individual,"He had been some time with Mr. Gardiner, who, with two or three other gentlemen from the house, was engaged by the river.",Mr. Gardiner
45,chapter_all_gpt-4o-mini_individual,her endeavour to introduce some kind of discourse proved her to be more truly well-bred than either of the others.,Mrs. Annesley
45,chapter_all_gpt-4o-mini_individual,his eye she feared to meet,Mr. Darcy
45,chapter_all_gpt-4o-mini_individual,"scarcely recollected her interest in the affair; and the very circumstance which had been designed to turn his thoughts from Elizabeth, seemed to have fixed them on her more and more cheerfully.",Mr. Darcy
45,chapter_all_gpt-4o-mini_individual,"Georgiana’s reception of them was very civil, but attended with all that embarrassment which, though proceeding from shyness and the fear of doing wrong, would easily give to those who felt themselves inferior the belief of her being proud and reserved.",Miss Darcy
45,chapter_all_gpt-4o-mini_individual,"looked as if she wished for courage enough to join in it; and sometimes did venture a short sentence, when there was least danger of its being heard.",Miss Darcy
45,chapter_all_gpt-4o-mini_individual,"overcome with confusion, and unable to lift up her eyes.",Miss Darcy
51,chapter_all_gpt-4o-mini_individual,Elizabeth was disgusted,Elizabeth
51,chapter_all_gpt-4o-mini_individual,"she sat down, resolving within herself to draw no limits in future to the impudence of an impudent man.",Elizabeth
51,chapter_all_gpt-4o-mini_individual,she could bear it no longer.,Elizabeth
51,chapter_all_gpt-4o-mini_individual,she looked expressively at Lydia.,Elizabeth
51,chapter_all_gpt-4o-mini_individual,"she was forced to put it out of her power, by running away.",Elizabeth
51,chapter_all_gpt-4o-mini_individual,she was satisfied with none.,Elizabeth
51,chapter_all_gpt-4o-mini_individual,"her curiosity must be to know how a person unconnected with any of us, and, comparatively speaking, a stranger to our family, should have been amongst you at such a time.",Elizabeth
51,chapter_all_gpt-4o-mini_individual,"she added to herself, 'Not that I shall,' though.",Elizabeth
51,chapter_all_gpt-4o-mini_individual,"she finished the letter; 'and, my dear aunt, if you do not tell me in an honourable manner, I shall certainly be reduced to tricks and stratagems to find it out.'",Elizabeth
51,chapter_all_gpt-4o-mini_individual,his countenance rather gained in austerity,Mr. Bennet
51,chapter_all_gpt-4o-mini_individual,he scarcely opened his lips.,Mr. Bennet
51,chapter_all_gpt-4o-mini_individual,"the easy assurance of the young couple, indeed, was enough to provoke him.",Mr. Bennet
51,chapter_all_gpt-4o-mini_individual,"Jane more especially, who gave Lydia the feelings which would have attended herself, had she been the culprit, and was wretched in the thought of what her sister must endure.",Jane
51,chapter_all_gpt-4o-mini_individual,Jane was distressed.,Jane
51,chapter_all_gpt-4o-mini_individual,"her daughters, alarmed, anxious, uneasy.",Kitty
51,chapter_all_gpt-4o-mini_individual,Lydia was exceedingly fond of him.,Lydia
51,chapter_all_gpt-4o-mini_individual,She was sure he would kill more birds on the first of September than anybody else in the country.,Lydia
51,chapter_all_gpt-4o-mini_individual,"she said to Elizabeth, 'I never gave you an account of my wedding, I believe.'",Lydia
51,chapter_all_gpt-4o-mini_individual,"he had apparently least to do, and least temptation to go.",Mr. Darcy
51,chapter_all_gpt-4o-mini_individual,Wickham was not at all more distressed than herself.,Wickham
51,chapter_all_gpt-4o-mini_individual,his manners were always so pleasing.,Wickham
51,chapter_all_gpt-4o-mini_individual,"Smiles decked the face of Mrs. Bennet, as the carriage drove up to the door.",Mrs. Bennet
51,chapter_all_gpt-4o-mini_individual,"she made the most of the time by visiting about with her daughter, and having very frequent parties at home.",Mrs. Bennet
50,chapter_all_gpt-4o-mini_individual,He now wished it more than ever.,Mr. Bennet
50,chapter_all_gpt-4o-mini_individual,He was seriously concerned that a cause of so little advantage to anyone should be forwarded at the sole expense of his brother-in-law.,Mr. Bennet
50,chapter_all_gpt-4o-mini_individual,"He had never before supposed that, could Wickham be prevailed on to marry his daughter, it would be done with so little inconvenience to himself as by the present arrangement.",Mr. Bennet
50,chapter_all_gpt-4o-mini_individual,His chief wish at present was to have as little trouble in the business as possible.,Mr. Bennet
50,chapter_all_gpt-4o-mini_individual,He was too angry with Lydia to send any message to her.,Mr. Bennet
50,chapter_all_gpt-4o-mini_individual,"Elizabeth was now most heartily sorry that she had, from the distress of the moment, been led to make Mr. Darcy acquainted with their fears for her sister.",Elizabeth
50,chapter_all_gpt-4o-mini_individual,"She had no fear of its spreading farther, through his means.",Elizabeth
50,chapter_all_gpt-4o-mini_individual,There was no one whose knowledge of a sister’s frailty would have mortified her so much.,Elizabeth
50,chapter_all_gpt-4o-mini_individual,"She was humbled, she was grieved; she repented, though she hardly knew of what.",Elizabeth
50,chapter_all_gpt-4o-mini_individual,"She became jealous of his esteem, when she could no longer hope to be benefited by it.",Elizabeth
50,chapter_all_gpt-4o-mini_individual,"She was convinced that she could have been happy with him, when it was no longer likely they should meet.",Elizabeth
50,chapter_all_gpt-4o-mini_individual,"What a triumph for him, as she often thought, could he know that the proposals which she had proudly spurned only four months ago would now have been gladly and gratefully received!",Elizabeth
50,chapter_all_gpt-4o-mini_individual,"She began now to comprehend that he was exactly the man who, in disposition and talents, would most suit her.",Elizabeth
50,chapter_all_gpt-4o-mini_individual,It was an union that must have been to the advantage of both.,Elizabeth
50,chapter_all_gpt-4o-mini_individual,But no such happy marriage could now teach the admiring multitude what connubial felicity really was.,Elizabeth
50,chapter_all_gpt-4o-mini_individual,"The principal purport of his letter was to inform them, that Mr. Wickham had resolved on quitting the militia.",Mr. Gardiner
50,chapter_all_gpt-4o-mini_individual,It is Mr. Wickham’s intention to go into the Regulars.,Mr. Gardiner
50,chapter_all_gpt-4o-mini_individual,"On this happy day she again took her seat at the head of her table, and in spirits oppressively high.",Mrs. Bennet
50,chapter_all_gpt-4o-mini_individual,No sentiment of shame gave a damp to her triumph.,Mrs. Bennet
50,chapter_all_gpt-4o-mini_individual,"The marriage of a daughter, which had been the first object of her wishes since Jane was sixteen, was now on the point of accomplishment.",Mrs. Bennet
50,chapter_all_gpt-4o-mini_individual,She was busily searching through the neighbourhood for a proper situation for her daughter.,Mrs. Bennet
50,chapter_all_gpt-4o-mini_individual,"Lydia’s being settled in the north, just when she had expected most pleasure and pride in her company, for she had by no means given up her plan of their residing in Hertfordshire, was a severe disappointment.",Mrs. Bennet
44,chapter_all_gpt-4o-mini_individual,her conclusion was false; for on the very morning after their own arrival at Lambton these visitors came.,Elizabeth
44,chapter_all_gpt-4o-mini_individual,the perturbation of Elizabeth’s feelings was every moment increasing.,Elizabeth
44,chapter_all_gpt-4o-mini_individual,She was quite amazed at her own discomposure;,Elizabeth
44,chapter_all_gpt-4o-mini_individual,she dreaded lest the partiality of the brother should have said too much in her favour;,Elizabeth
44,chapter_all_gpt-4o-mini_individual,"more than commonly anxious to please, she naturally suspected that every power of pleasing would fail her.",Elizabeth
44,chapter_all_gpt-4o-mini_individual,she found it difficult to obtain even a word from her beyond a monosyllable.,Elizabeth
44,chapter_all_gpt-4o-mini_individual,she had expected to find in her as acute and unembarrassed an observer as ever Mr. Darcy had been.,Elizabeth
44,chapter_all_gpt-4o-mini_individual,"she could not be deceived as to his behaviour to Miss Darcy, who had been set up as a rival to Jane.",Elizabeth
44,chapter_all_gpt-4o-mini_individual,"she was soon satisfied; and two or three little circumstances occurred ere they parted, which, in her anxious interpretation, denoted a recollection of Jane, not untinctured by tenderness.",Elizabeth
44,chapter_all_gpt-4o-mini_individual,Elizabeth was pleased to find his memory so exact;,Elizabeth
44,chapter_all_gpt-4o-mini_individual,there was a look and a manner which gave them meaning.,Elizabeth
44,chapter_all_gpt-4o-mini_individual,Whenever she did catch a glimpse she saw an expression of general complaisance.,Elizabeth
44,chapter_all_gpt-4o-mini_individual,"when she saw him thus seeking the acquaintance, and courting the good opinion of people; the difference, the change was so great, and struck so forcibly on her mind, that she could hardly restrain her astonishment from being visible.",Elizabeth
44,chapter_all_gpt-4o-mini_individual,she felt a real interest in his welfare;,Elizabeth
44,chapter_all_gpt-4o-mini_individual,"she only wanted to know how far she wished that welfare to depend upon herself, and how far it would be for the happiness of both.",Elizabeth
44,chapter_all_gpt-4o-mini_individual,"she was pleased; though when she asked herself the reason, she had very little to say in reply.",Elizabeth
44,chapter_all_gpt-4o-mini_individual,he expressed great pleasure in the certainty of seeing Elizabeth again.,Mr. Bingley
44,chapter_all_gpt-4o-mini_individual,"desirous of knowing how _she_, whom the invitation most concerned, felt disposed as to its acceptance.",Mrs. Gardiner
44,chapter_all_gpt-4o-mini_individual,"fond of society, a perfect willingness to accept it.",Mr. Gardiner
44,chapter_all_gpt-4o-mini_individual,"the improvement of manners which she had yesterday witnessed, however temporary its existence might prove, had at least outlived one day.",Mr. Darcy
44,chapter_all_gpt-4o-mini_individual,"he was most eager to preserve the acquaintance; and without any indelicate display of regard, or any peculiarity of manner, where their two selves only were concerned, was soliciting the good opinion of her friends.",Mr. Darcy
40,chapter_all_gpt-4o-mini_individual,Elizabeth’s impatience to acquaint Jane with what had happened could no longer be overcome.,Elizabeth
40,chapter_all_gpt-4o-mini_individual,But still more was she grieved for the unhappiness which her sister’s refusal must have given him.,Elizabeth
40,chapter_all_gpt-4o-mini_individual,The tumult of Elizabeth’s mind was allayed by this conversation.,Elizabeth
40,chapter_all_gpt-4o-mini_individual,"She had got rid of two of the secrets which had weighed on her for a fortnight, and was certain of a willing listener in Jane, whenever she might wish to talk again of either.",Elizabeth
40,chapter_all_gpt-4o-mini_individual,"there was still something lurking behind, of which prudence forbade the disclosure.",Elizabeth
40,chapter_all_gpt-4o-mini_individual,"She dared not relate the other half of Mr. Darcy’s letter, nor explain to her sister how sincerely she had been valued by his friend.",Elizabeth
40,chapter_all_gpt-4o-mini_individual,Miss Bennet’s astonishment was soon lessened by the strong sisterly partiality which made any admiration of Elizabeth appear perfectly natural.,Jane
40,chapter_all_gpt-4o-mini_individual,She was sorry that Mr. Darcy should have delivered his sentiments in a manner so little suited to recommend them.,Jane
40,chapter_all_gpt-4o-mini_individual,but still more was she grieved for the unhappiness which her sister’s refusal must have given him.,Jane
40,chapter_all_gpt-4o-mini_individual,"Nor was Darcy’s vindication, though grateful to her feelings, capable of consoling her for such discovery.",Jane
40,chapter_all_gpt-4o-mini_individual,"Most earnestly did she labour to prove the probability of error, and seek to clear one, without involving the other.",Jane
40,chapter_all_gpt-4o-mini_individual,"It was some time, however, before a smile could be extorted from Jane.",Jane
40,chapter_all_gpt-4o-mini_individual,she still cherished a very tender affection for Bingley.,Jane
40,chapter_all_gpt-4o-mini_individual,there is no talk of his coming to Netherfield again in the summer.,Mrs. Bennet
40,chapter_all_gpt-4o-mini_individual,Elizabeth could not receive comfort from any such expectation.,Mrs. Bennet
54,chapter_all_gpt-4o-mini_individual,Mr. Darcy’s behaviour astonished and vexed her.,Elizabeth
54,chapter_all_gpt-4o-mini_individual,She could settle it in no way that gave her pleasure.,Elizabeth
54,chapter_all_gpt-4o-mini_individual,"Though she dared not depend upon the consequence, she yet received pleasure from observing his behaviour.",Elizabeth
54,chapter_all_gpt-4o-mini_individual,It gave her all the animation that her spirits could boast; for she was in no cheerful humour.,Elizabeth
54,chapter_all_gpt-4o-mini_individual,"She was not near enough to hear any of their discourse; but she could see how seldom they spoke to each other, and how formal and cold was their manner whenever they did.",Elizabeth
54,chapter_all_gpt-4o-mini_individual,"Her mother’s ungraciousness made the sense of what they owed him more painful to Elizabeth’s mind; and she would, at times, have given anything to be privileged to tell him, that his kindness was neither unknown nor unfelt by the whole of the family.",Elizabeth
54,chapter_all_gpt-4o-mini_individual,"Anxious and uneasy, the period which passed in the drawing-room before the gentlemen came, was wearisome and dull to a degree that almost made her uncivil.",Elizabeth
54,chapter_all_gpt-4o-mini_individual,"She thought he looked as if he would have answered her hopes; but, alas!",Elizabeth
54,chapter_all_gpt-4o-mini_individual,"Upon seeing him fall a victim to her mother’s rapacity for whist players, she now lost every expectation of pleasure.",Elizabeth
54,chapter_all_gpt-4o-mini_individual,"She had nothing to hope, but that his eyes were so often turned towards her side of the room, as to make him play as unsuccessfully as herself.",Elizabeth
54,chapter_all_gpt-4o-mini_individual,She could think of nothing more to say.,Elizabeth
54,chapter_all_gpt-4o-mini_individual,"She was then hoping to be soon joined by him, when all her views were overthrown.",Elizabeth
54,chapter_all_gpt-4o-mini_individual,"She envied everyone to whom he spoke, had scarcely patience enough to help anybody to coffee, and then was enraged against herself for being so silly.",Elizabeth
54,chapter_all_gpt-4o-mini_individual,"Mrs. Bennet, in the meanwhile, was giving way to all the happy schemes which the good-humour and common politeness of Bingley, in half an hour’s visit, had revived.",Mrs. Long
54,chapter_all_gpt-4o-mini_individual,He bore it with noble indifference.,Mr. Bingley
54,chapter_all_gpt-4o-mini_individual,He was on one side of her mother.,Mr. Darcy
54,chapter_all_gpt-4o-mini_individual,"He stood by her, however, for some minutes, in silence.",Mr. Darcy
54,chapter_all_gpt-4o-mini_individual,Mrs. Bennet had designed to keep the two Netherfield gentlemen to supper.,Mrs. Bennet
54,chapter_all_gpt-4o-mini_individual,"Mrs. Bennet, in short, was in very great spirits.",Mrs. Bennet
54,chapter_all_gpt-4o-mini_individual,She had seen enough of Bingley’s behaviour to Jane to be convinced that she would get him at last.,Mrs. Bennet
54,chapter_all_gpt-4o-mini_individual,"Her expectations of advantage to her family, when in a happy humour, were so far beyond reason, that she was quite disappointed at not seeing him there again the next day.",Mrs. Bennet
55,chapter_all_gpt-4o-mini_individual,Elizabeth would not observe her mother.,Elizabeth
55,chapter_all_gpt-4o-mini_individual,Elizabeth was forced to go.,Elizabeth
55,chapter_all_gpt-4o-mini_individual,"Elizabeth made no attempt to reason with her mother, but remained quietly in the hall.",Elizabeth
55,chapter_all_gpt-4o-mini_individual,Elizabeth went to bed in the happy belief that all must speedily be concluded.,Elizabeth
55,chapter_all_gpt-4o-mini_individual,Elizabeth smiled at the rapidity and ease with which an affair was finally settled.,Elizabeth
55,chapter_all_gpt-4o-mini_individual,Elizabeth honestly and heartily expressed her delight in the prospect of their relationship.,Elizabeth
55,chapter_all_gpt-4o-mini_individual,Elizabeth was pleased to find that he had not betrayed the interference of his friend.,Elizabeth
55,chapter_all_gpt-4o-mini_individual,The latter was much more agreeable than his companion expected.,Mr. Bennet
55,chapter_all_gpt-4o-mini_individual,Jane would not be prevailed on to go down without one of her sisters.,Jane
55,chapter_all_gpt-4o-mini_individual,Jane instantly gave a look at Elizabeth which spoke her distress at such premeditation.,Jane
55,chapter_all_gpt-4o-mini_individual,"Jane acknowledged, with the liveliest emotion, that she was the happiest creature in the world.",Jane
55,chapter_all_gpt-4o-mini_individual,Every sentence of kindness was a fresh source of happiness to Jane.,Jane
55,chapter_all_gpt-4o-mini_individual,"Kitty simpered and smiled, and hoped her turn was coming soon.",Kitty
55,chapter_all_gpt-4o-mini_individual,His ease and cheerfulness rendered him a most agreeable addition to their evening party.,Mr. Bingley
55,chapter_all_gpt-4o-mini_individual,Mary petitioned for the use of the library at Netherfield.,Mary
55,chapter_all_gpt-4o-mini_individual,"Mrs. Bennet sat looking and winking at Elizabeth and Catherine for a considerable time, without making any impression on them.",Mrs. Bennet
55,chapter_all_gpt-4o-mini_individual,Mrs. Bennet’s schemes for this day were ineffectual.,Mrs. Bennet
55,chapter_all_gpt-4o-mini_individual,"Mrs. Bennet could not give her consent, or speak her approbation in terms warm enough to satisfy her feelings.",Mrs. Bennet
41,chapter_all_gpt-4o-mini_individual,She felt anew the justice of Mr. Darcy’s objections.,Elizabeth
41,chapter_all_gpt-4o-mini_individual,She considered it as the death-warrant of all possibility of common sense for Lydia.,Elizabeth
41,chapter_all_gpt-4o-mini_individual,"Detestable as such a step must make her, were it known, she could not help secretly advising her father not to let her go.",Elizabeth
41,chapter_all_gpt-4o-mini_individual,She represented to him all the improprieties of Lydia’s general behaviour.,Elizabeth
41,chapter_all_gpt-4o-mini_individual,"Her own opinion continued the same, and she left him disappointed and sorry.",Elizabeth
41,chapter_all_gpt-4o-mini_individual,"It was not in her nature, however, to increase her vexations by dwelling on them.",Elizabeth
41,chapter_all_gpt-4o-mini_individual,She was confident of having performed her duty.,Elizabeth
41,chapter_all_gpt-4o-mini_individual,"To fret over unavoidable evils, or augment them by anxiety, was no part of her disposition.",Elizabeth
41,chapter_all_gpt-4o-mini_individual,The invitation was so far from exciting in her the same feelings as in her mother and Lydia.,Elizabeth
41,chapter_all_gpt-4o-mini_individual,He heard her attentively.,Mr. Bennet
41,chapter_all_gpt-4o-mini_individual,Mr. Bennet saw that her whole heart was in the subject.,Mr. Bennet
41,chapter_all_gpt-4o-mini_individual,He regarded Lydia’s behavior with a sense of resignation.,Mr. Bennet
41,chapter_all_gpt-4o-mini_individual,He believed that Elizabeth and Jane would be respected and valued.,Mr. Bennet
41,chapter_all_gpt-4o-mini_individual,Jane attempts to make Kitty resigned.,Jane
