chapter,method,character,mention
54,chapter_all_gpt-4o-mini_individual,Mrs. Bennet,"Mrs. Bennet, in the meanwhile, was giving way to all the happy schemes"
54,chapter_all_gpt-4o-mini_individual,Mrs. Bennet,Her mother’s ungraciousness made the sense of what they owed him more painful to Elizabeth’s mind
54,chapter_all_gpt-4o-mini_individual,Mrs. Bennet,Mrs. Bennet had designed to keep the two Netherfield gentlemen to supper
54,chapter_all_gpt-4o-mini_individual,Mrs. Bennet,"Mrs. Bennet, in short, was in very great spirits"
54,chapter_all_gpt-4o-mini_individual,Jane,cheerful look which showed her better satisfied with their visitors than Elizabeth
54,chapter_all_gpt-4o-mini_individual,Mr. Bingley,"the good-humour and common politeness of Bingley, in half an hour’s visit"
54,chapter_all_gpt-4o-mini_individual,Mr. Darcy,His behaviour to her sister was such during dinnertime as showed an admiration of her
54,chapter_all_gpt-4o-mini_individual,Mr. Darcy,He bore it with noble indifference
54,chapter_all_gpt-4o-mini_individual,Mr. Darcy,he looked as if he would have answered her hopes
54,chapter_all_gpt-4o-mini_individual,Mr. Darcy,fall a victim to her mother’s rapacity for whist players
55,chapter_all_gpt-4o-mini_individual,Jane,"The satisfaction of Miss Bennet’s mind gave such a glow of sweet animation to her face, as made her look handsomer than ever."
55,chapter_all_gpt-4o-mini_individual,Mr. Bennet,his voice and manner plainly showed how really happy he was.
55,chapter_all_gpt-4o-mini_individual,Mrs. Bennet,"who had purposely broken up the card-party, and was sitting upstairs with Kitty."
55,chapter_all_gpt-4o-mini_individual,Mr. Bingley,"he bore with the ill-judged officiousness of the mother, and heard all her silly remarks with a forbearance and command of countenance particularly grateful to the daughter."
41,chapter_all_gpt-4o-mini_individual,Elizabeth,Elizabeth tried to be diverted by them; but all sense of pleasure was lost in shame.
41,chapter_all_gpt-4o-mini_individual,Elizabeth,"as detestable as such a step must make her, were it known, she could not help secretly advising her father not to let her go."
41,chapter_all_gpt-4o-mini_individual,Mr. Bennet,"He heard her attentively, and then said,--"
41,chapter_all_gpt-4o-mini_individual,Mr. Bennet,Mr. Bennet saw that her whole heart was in the subject;
41,chapter_all_gpt-4o-mini_individual,Lydia,"the rapture of Lydia on this occasion, her adoration of Mrs. Forster, the delight of Mrs. Bennet, and the mortification of Kitty, are scarcely to be described."
41,chapter_all_gpt-4o-mini_individual,Lydia,whilst the luckless Kitty continued in the parlour repining at her fate in terms as unreasonable as her accent was peevish.
41,chapter_all_gpt-4o-mini_individual,Lydia,"In Lydia’s imagination, a visit to Brighton comprised every possibility of earthly happiness."
41,chapter_all_gpt-4o-mini_individual,Lydia,Lydia’s going to Brighton was all that consoled her for the melancholy conviction of her husband’s never intending to go there himself.
41,chapter_all_gpt-4o-mini_individual,Wickham,"In his present behaviour to herself, moreover, she had a fresh source of displeasure;"
41,chapter_all_gpt-4o-mini_individual,Colonel Fitzwilliam,"with an air of indifference, he soon afterwards added, 'How long did you say that he was at Rosings?'"
57,chapter_all_gpt-4o-mini_individual,Lady Catherine de Bourgh,had actually taken the trouble of this journey from Rosings for the sole purpose of breaking off her supposed engagement with Mr. Darcy
57,chapter_all_gpt-4o-mini_individual,Elizabeth,the colour now rushed into Elizabeth’s cheeks in the instantaneous conviction of its being a letter from the nephew
57,chapter_all_gpt-4o-mini_individual,Elizabeth,"tried to join in her father’s pleasantry, but could only force one most reluctant smile"
57,chapter_all_gpt-4o-mini_individual,Elizabeth,was necessary to laugh when she would rather have cried
57,chapter_all_gpt-4o-mini_individual,Mr. Darcy,who probably never looked at you in his life
57,chapter_all_gpt-4o-mini_individual,Mr. Collins,"Mr. Collins, moreover, adds, 'I am truly rejoiced that my cousin Lydia’s sad business has been so well hushed up'"
57,chapter_all_gpt-4o-mini_individual,Mrs. Bennet,"the surprise of the rest of the family, on hearing who their visitor had been, was very great: but they obligingly satisfied it with the same kind of supposition which had appeased Mrs. Bennet’s curiosity"
43,chapter_all_gpt-4o-mini_individual,Elizabeth,"as they drove along, watched for the first appearance of Pemberley Woods with some perturbation; and when at length they turned in at the lodge, her spirits were in a high flutter."
43,chapter_all_gpt-4o-mini_individual,Elizabeth,"Elizabeth’s mind was too full for conversation, but she saw and admired every remarkable spot and point of view."
43,chapter_all_gpt-4o-mini_individual,Elizabeth,"She had never seen a place for which nature had done more, or where natural beauty had been so little counteracted by an awkward taste."
43,chapter_all_gpt-4o-mini_individual,Elizabeth,"But, no,” recollecting herself, “that could never be; my uncle and aunt would have been lost to me; I should not have been allowed to invite them."
43,chapter_all_gpt-4o-mini_individual,Elizabeth,This was a lucky recollection--it saved her from something like regret.
43,chapter_all_gpt-4o-mini_individual,Elizabeth,Her aunt now called her to look at a picture.
43,chapter_all_gpt-4o-mini_individual,Elizabeth,"Elizabeth coloured, and said, “A little.”"
43,chapter_all_gpt-4o-mini_individual,Elizabeth,Elizabeth almost stared at her.
43,chapter_all_gpt-4o-mini_individual,Elizabeth,"Elizabeth listened, wondered, doubted, and was impatient for more."
43,chapter_all_gpt-4o-mini_individual,Mr. Darcy,"I have heard much of your master’s fine person,” said Mrs. Gardiner, looking at the picture; “it is a handsome face."
43,chapter_all_gpt-4o-mini_individual,Mr. Darcy,"This fine account of him,” whispered her aunt as they walked, “is not quite consistent with his behaviour to our poor friend.”"
43,chapter_all_gpt-4o-mini_individual,Mr. Darcy,"This was praise of all others most extraordinary, most opposite to her ideas."
43,chapter_all_gpt-4o-mini_individual,Mr. Darcy,"What a contrast did it offer to his last address in Rosings Park, when he put his letter into her hand."
43,chapter_all_gpt-4o-mini_individual,Mr. Darcy,"She knew not what to think, or how to account for it."
43,chapter_all_gpt-4o-mini_individual,Mr. Gardiner,his manners were easy and pleasant
43,chapter_all_gpt-4o-mini_individual,Mr. Gardiner,encouraged her communicativeness by his questions and remarks
43,chapter_all_gpt-4o-mini_individual,Mrs. Gardiner,looked at her niece with a smile
43,chapter_all_gpt-4o-mini_individual,Mrs. Gardiner,her manners were easy and pleasant
42,chapter_all_gpt-4o-mini_individual,Mr. Bennet,"captivated by youth and beauty, and that appearance of good-humour which youth and beauty generally give"
42,chapter_all_gpt-4o-mini_individual,Mr. Bennet,was fond of the country and of books
42,chapter_all_gpt-4o-mini_individual,Mr. Bennet,to his wife he was very little otherwise indebted than as her ignorance and folly had contributed to his amusement
42,chapter_all_gpt-4o-mini_individual,Elizabeth,saw it with pain
42,chapter_all_gpt-4o-mini_individual,Elizabeth,"respecting his abilities, and grateful for his affectionate treatment of herself"
42,chapter_all_gpt-4o-mini_individual,Elizabeth,had never felt so strongly as now the disadvantages which must attend the children of so unsuitable a marriage
42,chapter_all_gpt-4o-mini_individual,Lydia,"her letters were always long expected, and always very short"
42,chapter_all_gpt-4o-mini_individual,Lydia,"contained little else than that they were just returned from the library, where such and such officers had attended them, and where she had seen such beautiful ornaments as made her quite wild"
42,chapter_all_gpt-4o-mini_individual,Lydia,"that she had a new gown, or a new parasol"
42,chapter_all_gpt-4o-mini_individual,Mrs. Gardiner,had a peculiarly strong attraction
42,chapter_all_gpt-4o-mini_individual,Mrs. Gardiner,which might supply it among themselves if there were disappointments abroad
42,chapter_all_gpt-4o-mini_individual,Jane,"was the general favourite, and whose steady sense and sweetness of temper exactly adapted her for attending to them in every way"
56,chapter_all_gpt-4o-mini_individual,Lady Catherine de Bourgh,She entered the room with an air more than usually ungracious
56,chapter_all_gpt-4o-mini_individual,Lady Catherine de Bourgh,"Lady Catherine very resolutely, and not very politely, declined eating anything"
56,chapter_all_gpt-4o-mini_individual,Lady Catherine de Bourgh,"pronouncing them, after a short survey, to be decent-looking rooms"
56,chapter_all_gpt-4o-mini_individual,Lady Catherine de Bourgh,"Lady Catherine rose also, and they turned back. Her Ladyship was highly incensed."
56,chapter_all_gpt-4o-mini_individual,Elizabeth,Elizabeth had mentioned her name to her mother on her Ladyship’s entrance
56,chapter_all_gpt-4o-mini_individual,Elizabeth,Elizabeth looked with unaffected astonishment
56,chapter_all_gpt-4o-mini_individual,Elizabeth,"Elizabeth, colouring with astonishment and disdain"
56,chapter_all_gpt-4o-mini_individual,Mrs. Bennet,"Mrs. Bennet, all amazement, though flattered by having a guest of such high importance"
56,chapter_all_gpt-4o-mini_individual,Mrs. Bennet,Mrs. Bennet assured her that they never sat there after dinner
56,chapter_all_gpt-4o-mini_individual,Mrs. Bennet,"Mrs. Bennet, with great civility, begged her Ladyship to take some refreshment"
56,chapter_all_gpt-4o-mini_individual,Kitty,"Kitty, though she was perfectly unknown to them, even inferior to what Elizabeth felt"
19,chapter_all_gpt-4o-mini_individual,Mr. Collins,having no feelings of diffidence to make it distressing to himself even at the moment
19,chapter_all_gpt-4o-mini_individual,Mr. Collins,with all the observances which he supposed a regular part of the business
19,chapter_all_gpt-4o-mini_individual,Mr. Collins,soaring solemn composure
19,chapter_all_gpt-4o-mini_individual,Mr. Collins,with a formal wave of the hand
19,chapter_all_gpt-4o-mini_individual,Elizabeth,a blush of surprise
19,chapter_all_gpt-4o-mini_individual,Elizabeth,vexed and embarrassed looks
19,chapter_all_gpt-4o-mini_individual,Elizabeth,her wit and vivacity
19,chapter_all_gpt-4o-mini_individual,Mrs. Bennet,"gathering her work together, she was hastening away"
31,chapter_all_gpt-4o-mini_individual,Colonel Fitzwilliam,Colonel Fitzwilliam’s manners were very much admired at the Parsonage
31,chapter_all_gpt-4o-mini_individual,Colonel Fitzwilliam,Colonel Fitzwilliam seemed really glad to see them
31,chapter_all_gpt-4o-mini_individual,Colonel Fitzwilliam,anything was a welcome relief to him at Rosings
31,chapter_all_gpt-4o-mini_individual,Colonel Fitzwilliam,"Mrs. Collins’s pretty friend had, moreover, caught his fancy very much"
31,chapter_all_gpt-4o-mini_individual,Colonel Fitzwilliam,"He now seated himself by her, and talked so agreeably of Kent and Hertfordshire, of travelling and staying at home, of new books and music, that Elizabeth had never been half so well entertained in that room before"
31,chapter_all_gpt-4o-mini_individual,Lady Catherine de Bourgh,"Her Ladyship received them civilly, but it was plain that their company was by no means so acceptable as when she could get nobody else"
31,chapter_all_gpt-4o-mini_individual,Lady Catherine de Bourgh,"she was, in fact, almost engrossed by her nephews, speaking to them, especially to Darcy, much more than to any other person in the room"
31,chapter_all_gpt-4o-mini_individual,Mr. Darcy,His eyes had been soon and repeatedly turned towards them with a look of curiosity
31,chapter_all_gpt-4o-mini_individual,Mr. Darcy,Mr. Darcy looked a little ashamed of his aunt’s ill-breeding
31,chapter_all_gpt-4o-mini_individual,Mr. Darcy,"he replied, 'because you could not really believe me to entertain any design of alarming you'"
31,chapter_all_gpt-4o-mini_individual,Mr. Darcy,"Darcy smiled and said, 'You are perfectly right'"
25,chapter_all_gpt-4o-mini_individual,Mr. Gardiner,"a sensible, gentlemanlike man, greatly superior to his sister, as well by nature as education"
25,chapter_all_gpt-4o-mini_individual,Mrs. Gardiner,"an amiable, intelligent, elegant woman, and a great favourite with her Longbourn nieces"
1,chapter_all_gpt-4o-mini_individual,Mrs. Bennet,her lady to him one day
1,chapter_all_gpt-4o-mini_individual,Mrs. Bennet,"a woman of mean understanding, little information, and uncertain temper"
1,chapter_all_gpt-4o-mini_individual,Mrs. Bennet,"When she was discontented, she fancied herself nervous"
1,chapter_all_gpt-4o-mini_individual,Mrs. Bennet,The business of her life was to get her daughters married: its solace was visiting and news.
1,chapter_all_gpt-4o-mini_individual,Mr. Bennet,"an odd mixture of quick parts, sarcastic humour, reserve, and caprice"
24,chapter_all_gpt-4o-mini_individual,Elizabeth,her heart was divided between concern for her sister and resentment against all others
24,chapter_all_gpt-4o-mini_individual,Elizabeth,Elizabeth looked at her sister with incredulous solicitude
24,chapter_all_gpt-4o-mini_individual,Jane,slightly colouring
24,chapter_all_gpt-4o-mini_individual,Jane,her sweetness and disinterestedness are really angelic
24,chapter_all_gpt-4o-mini_individual,Mr. Bingley,he will be forgot
30,chapter_all_gpt-4o-mini_individual,Lady Catherine de Bourgh,"this great lady was not in the commission of the peace for the county, she was a most active magistrate in her own parish"
30,chapter_all_gpt-4o-mini_individual,Lady Catherine de Bourgh,nothing escaped her observation that was passing in the room during these visits
30,chapter_all_gpt-4o-mini_individual,Mr. Darcy,Mr. Darcy looked just as he had been used to look in Hertfordshire
30,chapter_all_gpt-4o-mini_individual,Mr. Darcy,met her with every appearance of composure
30,chapter_all_gpt-4o-mini_individual,Colonel Fitzwilliam,"Colonel Fitzwilliam, who led the way, was about thirty, not handsome, but in person and address most truly the gentleman"
30,chapter_all_gpt-4o-mini_individual,Colonel Fitzwilliam,"entered into conversation directly, with the readiness and ease of a well-bred man"
18,chapter_all_gpt-4o-mini_individual,Elizabeth,she had dressed with more than usual care
18,chapter_all_gpt-4o-mini_individual,Elizabeth,was not formed for ill-humour
18,chapter_all_gpt-4o-mini_individual,Elizabeth,a degree of ill-humour which she could not wholly surmount
18,chapter_all_gpt-4o-mini_individual,Elizabeth,her countenance no less smiling than her sister’s
18,chapter_all_gpt-4o-mini_individual,Mr. Darcy,"his eyes were directed, with a very serious expression"
18,chapter_all_gpt-4o-mini_individual,Mr. Darcy,"a slight bow, and moved another way"
18,chapter_all_gpt-4o-mini_individual,Mr. Collins,"awkward and solemn, apologizing instead of attending"
18,chapter_all_gpt-4o-mini_individual,Mr. Collins,with a determined air of following his own inclination
18,chapter_all_gpt-4o-mini_individual,Mr. Collins,with a low bow he left her to attack Mr. Darcy
18,chapter_all_gpt-4o-mini_individual,Mr. Bingley,upon his return from London
18,chapter_all_gpt-4o-mini_individual,Jane,"a smile of such sweet complacency, a glow of such happy expression"
18,chapter_all_gpt-4o-mini_individual,Miss Bingley,with an expression of civil disdain
18,chapter_all_gpt-4o-mini_individual,Mrs. Bennet,"talking to that one person (Lady Lucas) freely, openly, and of nothing else but of her expectation that Jane would be soon married to Mr. Bingley"
18,chapter_all_gpt-4o-mini_individual,Mrs. Bennet,she scolded her for being nonsensical
18,chapter_all_gpt-4o-mini_individual,Mary,"her voice was weak, and her manner affected"
18,chapter_all_gpt-4o-mini_individual,Lydia,who told them that Wickham had been obliged to go to town on business the day before
18,chapter_all_gpt-4o-mini_individual,Charlotte Lucas,was soon able to make a voluntary transition to the oddities of her cousin
18,chapter_all_gpt-4o-mini_individual,Wickham,was universally liked
18,chapter_all_gpt-4o-mini_individual,Sir William Lucas,with a bow of superior courtesy
18,chapter_all_gpt-4o-mini_individual,Mr. Denny,told them that Wickham had been obliged to go to town
26,chapter_all_gpt-4o-mini_individual,Mr. Collins,His marriage was now fast approaching; and she was at length so far resigned as to think it inevitable.
26,chapter_all_gpt-4o-mini_individual,Charlotte Lucas,"Charlotte said, 'I shall depend on hearing from you very often, Eliza.'"
26,chapter_all_gpt-4o-mini_individual,Charlotte Lucas,Her letter expressed herself on every point exactly as she might have foreseen.
26,chapter_all_gpt-4o-mini_individual,Jane,"Jane had been a week in town, without either seeing or hearing from Caroline."
26,chapter_all_gpt-4o-mini_individual,Jane,"She accounted for it, however, by supposing that her last letter to her friend from Longbourn had by some accident been lost."
26,chapter_all_gpt-4o-mini_individual,Mrs. Gardiner,Mrs. Gardiner’s caution to Elizabeth was punctually and kindly given on the first favourable opportunity of speaking to her alone.
26,chapter_all_gpt-4o-mini_individual,Elizabeth,"she thus went on:-- 'You are too sensible a girl, Lizzy, to fall in love merely because you are warned against it;'"
26,chapter_all_gpt-4o-mini_individual,Mrs. Bennet,"in an ill-natured tone, that she 'wished they might be happy.'"
32,chapter_all_gpt-4o-mini_individual,Mr. Darcy,"He seemed astonished too on finding her alone, and apologized for his intrusion, by letting her know that he had understood all the ladies to be within."
32,chapter_all_gpt-4o-mini_individual,Mr. Darcy,"He took the hint and soon began with, 'This seems a very comfortable house.'"
32,chapter_all_gpt-4o-mini_individual,Mr. Darcy,Mr. Darcy drew his chair a little towards her.
32,chapter_all_gpt-4o-mini_individual,Mr. Darcy,He seldom appeared really animated.
32,chapter_all_gpt-4o-mini_individual,Colonel Fitzwilliam,It was plain to them all that Colonel Fitzwilliam came because he had pleasure in their society.
3,chapter_all_gpt-4o-mini_individual,Mr. Bingley,"He was quite young, wonderfully handsome, extremely agreeable."
3,chapter_all_gpt-4o-mini_individual,Mr. Bingley,"Mr. Bingley was good-looking and gentlemanlike: he had a pleasant countenance, and easy, unaffected manners."
3,chapter_all_gpt-4o-mini_individual,Mr. Bingley,Mr. Bingley had soon made himself acquainted with all the principal people in the room: he was lively and unreserved.
3,chapter_all_gpt-4o-mini_individual,Mr. Darcy,"Mr. Darcy soon drew the attention of the room by his fine, tall person, handsome features, noble mien."
3,chapter_all_gpt-4o-mini_individual,Mr. Darcy,he was much handsomer than Mr. Bingley.
3,chapter_all_gpt-4o-mini_individual,Mr. Darcy,"he was discovered to be proud, to be above his company, and above being pleased; and not all his large estate in Derbyshire could save him from having a most forbidding, disagreeable countenance."
3,chapter_all_gpt-4o-mini_individual,Jane,Everybody said how well she looked; and Mr. Bingley thought her quite beautiful.
3,chapter_all_gpt-4o-mini_individual,Mrs. Bennet,"Oh, my dear, I am quite delighted with him. He is so excessively handsome!"
3,chapter_all_gpt-4o-mini_individual,Mr. Hurst,"His brother-in-law, Mr. Hurst, merely looked the gentleman."
3,chapter_all_gpt-4o-mini_individual,Elizabeth,She is tolerable: but not handsome enough to tempt me.
2,chapter_all_gpt-4o-mini_individual,Mr. Bennet,fatigued with the raptures of his wife
2,chapter_all_gpt-4o-mini_individual,Kitty,timing her coughs ill
2,chapter_all_gpt-4o-mini_individual,Mrs. Bennet,unable to contain herself
2,chapter_all_gpt-4o-mini_individual,Mrs. Bennet,declared that it was what she had expected all the while
2,chapter_all_gpt-4o-mini_individual,Mrs. Bennet,"how good it was in you, my dear Mr. Bennet"
33,chapter_all_gpt-4o-mini_individual,Mr. Darcy,Could he have Colonel Fitzwilliam in his thoughts?
33,chapter_all_gpt-4o-mini_individual,Mr. Darcy,"It appeared to her so just a picture of Mr. Darcy, that she would not trust herself with an answer"
33,chapter_all_gpt-4o-mini_individual,Colonel Fitzwilliam,"I have been making the tour of the park, as I generally do every year"
33,chapter_all_gpt-4o-mini_individual,Colonel Fitzwilliam,He answered her in the same style
27,chapter_all_gpt-4o-mini_individual,Elizabeth,pleased to see it healthful and lovely as ever
27,chapter_all_gpt-4o-mini_individual,Jane,healthful and lovely as ever
27,chapter_all_gpt-4o-mini_individual,Sir William Lucas,"a good-humoured girl, but as empty-headed as himself"
27,chapter_all_gpt-4o-mini_individual,Maria Lucas,"a good-humoured girl, but as empty-headed as himself"
23,chapter_all_gpt-4o-mini_individual,Elizabeth,"Elizabeth was sitting with her mother and sisters, reflecting on what she had heard, and doubting whether she was authorized to mention it"
23,chapter_all_gpt-4o-mini_individual,Elizabeth,"Elizabeth, feeling it incumbent on her to relieve him from so unpleasant a situation, now put herself forward to confirm his account"
23,chapter_all_gpt-4o-mini_individual,Elizabeth,"her disappointment in Charlotte made her turn with fonder regard to her sister, of whose rectitude and delicacy she was sure her opinion could never be shaken, and for whose happiness she grew daily more anxious"
23,chapter_all_gpt-4o-mini_individual,Mrs. Bennet,"Mrs. Bennet was, in fact, too much overpowered to say a great deal while Sir William remained"
23,chapter_all_gpt-4o-mini_individual,Mrs. Bennet,her feelings found a rapid vent
23,chapter_all_gpt-4o-mini_individual,Mrs. Bennet,Nothing could console and nothing appease her
23,chapter_all_gpt-4o-mini_individual,Mrs. Bennet,a week elapsed before she could see Elizabeth without scolding her
23,chapter_all_gpt-4o-mini_individual,Mrs. Bennet,"she hated having visitors in the house while her health was so indifferent, and lovers were of all people the most disagreeable"
23,chapter_all_gpt-4o-mini_individual,Mrs. Bennet,Mrs. Bennet was really in a most pitiable state
23,chapter_all_gpt-4o-mini_individual,Mrs. Bennet,The very mention of anything concerning the match threw her into an agony of ill-humour
23,chapter_all_gpt-4o-mini_individual,Mrs. Bennet,The sight of Miss Lucas was odious to her
