chapter,method,text,character,count
11,chapter_all_gpt-4o-mini_individual,Grace Poole,Grace Poole,1
11,chapter_all_gpt-4o-mini_individual,Mrs. Fairfax,Mrs. Fairfax,20
11,chapter_all_gpt-4o-mini_individual,Miss Varens,Celine Varens,2
11,chapter_all_gpt-4o-mini_individual,Adela Varens,Celine Varens,1
11,chapter_all_gpt-4o-mini_individual,Adèle,Celine Varens,5
11,chapter_all_gpt-4o-mini_individual,Mademoiselle Adela,Celine Varens,1
13,chapter_all_gpt-4o-mini_individual,Mr. Rochester,Mr. Rochester,20
13,chapter_all_gpt-4o-mini_individual,Mr. Brocklehurst,Mr. Brocklehurst,1
13,chapter_all_gpt-4o-mini_individual,Mr. Rowland Rochester,Mr. Rowland Rochester,1
13,chapter_all_gpt-4o-mini_individual,Jane,Jane,0
13,chapter_all_gpt-4o-mini_individual,Miss Eyre,Jane,8
13,chapter_all_gpt-4o-mini_individual,Miss Temple,Miss Temple,1
13,chapter_all_gpt-4o-mini_individual,Mrs. Fairfax,Mrs. Fairfax,19
13,chapter_all_gpt-4o-mini_individual,Rowland Rochester,Rowland Rochester,1
2,chapter_all_gpt-4o-mini_individual,Georgiana Reed,Georgiana Reed,0
2,chapter_all_gpt-4o-mini_individual,Mr. Reed,Mr. Reed,4
2,chapter_all_gpt-4o-mini_individual,Master Reed,Reed,1
2,chapter_all_gpt-4o-mini_individual,Mrs. Reed,Mrs. Reed,9
2,chapter_all_gpt-4o-mini_individual,Missis,Mrs. Reed,4
2,chapter_all_gpt-4o-mini_individual,Jane Eyre,Jane,1
2,chapter_all_gpt-4o-mini_individual,Bessie,Bessie,17
2,chapter_all_gpt-4o-mini_individual,John Reed,John Reed,1
2,chapter_all_gpt-4o-mini_individual,Eliza,Eliza Reed,1
2,chapter_all_gpt-4o-mini_individual,Miss Abbot,Abbot,8
2,chapter_all_gpt-4o-mini_individual,Georgiana,Georgiana,1
3,chapter_all_gpt-4o-mini_individual,Mr. Reed,Mr. Reed,1
3,chapter_all_gpt-4o-mini_individual,Mrs. Reed,Reed,5
3,chapter_all_gpt-4o-mini_individual,John Reed,Reed,3
3,chapter_all_gpt-4o-mini_individual,Mr. Reed,Reed,1
3,chapter_all_gpt-4o-mini_individual,Mrs. Reed,Mrs. Reed,5
3,chapter_all_gpt-4o-mini_individual,Missis,Mrs. Reed,3
3,chapter_all_gpt-4o-mini_individual,Miss Jane Eyre,Jane,1
3,chapter_all_gpt-4o-mini_individual,Bessie,Bessie,29
3,chapter_all_gpt-4o-mini_individual,nurse,Bessie,8
3,chapter_all_gpt-4o-mini_individual,John Reed,John Reed,3
3,chapter_all_gpt-4o-mini_individual,Miss Abbot,Abbot,1
12,chapter_all_gpt-4o-mini_individual,Mr. Rochester,Mr. Rochester,4
12,chapter_all_gpt-4o-mini_individual,master,Mr. Rochester,5
12,chapter_all_gpt-4o-mini_individual,Mrs. Fairfax,Mrs. Fairfax,12
12,chapter_all_gpt-4o-mini_individual,Grace Poole,Grace Poole,1
16,chapter_all_gpt-4o-mini_individual,Mr. Rochester,Mr. Rochester,26
16,chapter_all_gpt-4o-mini_individual,master,Mr. Rochester,8
16,chapter_all_gpt-4o-mini_individual,Blanche Ingram,Blanche Ingram,2
16,chapter_all_gpt-4o-mini_individual,Miss Ingram,Blanche Ingram,3
16,chapter_all_gpt-4o-mini_individual,Colonel Dent,Colonel Dent,1
16,chapter_all_gpt-4o-mini_individual,Mrs. Eshton,Mrs. Eshton,1
16,chapter_all_gpt-4o-mini_individual,Jane Eyre,Jane,2
16,chapter_all_gpt-4o-mini_individual,Grace Poole,Grace Poole,4
16,chapter_all_gpt-4o-mini_individual,Mrs. Poole,Grace Poole,2
16,chapter_all_gpt-4o-mini_individual,Mrs. Fairfax,Mrs. Fairfax,9
16,chapter_all_gpt-4o-mini_individual,Sir George Lynn,Sir George Lynn,1
16,chapter_all_gpt-4o-mini_individual,Mary Ingram,Mary Ingram,1
16,chapter_all_gpt-4o-mini_individual,Lord Ingram,Lord Ingram,2
7,chapter_all_gpt-4o-mini_individual,Mr. Brocklehurst,Mr. Brocklehurst,15
7,chapter_all_gpt-4o-mini_individual,Mrs. Brocklehurst,Augusta Brocklehurst,0
7,chapter_all_gpt-4o-mini_individual,Mr. Reed,Mr. Reed,0
7,chapter_all_gpt-4o-mini_individual,Reed,Reed,2
7,chapter_all_gpt-4o-mini_individual,Brocklehurst,Brocklehurst,18
7,chapter_all_gpt-4o-mini_individual,Mrs. Reed,Mrs. Reed,1
7,chapter_all_gpt-4o-mini_individual,Mrs. Brocklehurst,Mrs. Brocklehurst,0
7,chapter_all_gpt-4o-mini_individual,Jane,Jane,1
7,chapter_all_gpt-4o-mini_individual,Miss Smith,Miss Smith,3
7,chapter_all_gpt-4o-mini_individual,Catherine Johnstone,Catherine Johnstone,1
7,chapter_all_gpt-4o-mini_individual,Bessie,Bessie,0
7,chapter_all_gpt-4o-mini_individual,Theodore Brocklehurst,Theodore Brocklehurst,0
7,chapter_all_gpt-4o-mini_individual,Agnes Johnstone,Agnes Johnstone,0
7,chapter_all_gpt-4o-mini_individual,Miss Temple,Miss Temple,20
7,chapter_all_gpt-4o-mini_individual,Helen Burns,Helen Burns,3
7,chapter_all_gpt-4o-mini_individual,Broughton Brocklehurst,Broughton Brocklehurst,0
7,chapter_all_gpt-4o-mini_individual,Abbot,Abbot,0
6,chapter_all_gpt-4o-mini_individual,Mr. Brocklehurst,Mr. Brocklehurst,1
6,chapter_all_gpt-4o-mini_individual,Mrs. Reed,Mrs. Reed,2
6,chapter_all_gpt-4o-mini_individual,John Reed,John Reed,0
6,chapter_all_gpt-4o-mini_individual,Jane,Jane,0
6,chapter_all_gpt-4o-mini_individual,Miss Smith,Miss Smith,2
6,chapter_all_gpt-4o-mini_individual,Miss Temple,Miss Temple,6
6,chapter_all_gpt-4o-mini_individual,Helen Burns,Helen Burns,4
17,chapter_all_gpt-4o-mini_individual,Mr. Rochester,Mr. Rochester,32
17,chapter_all_gpt-4o-mini_individual,master of Thornfield,Mr. Rochester,2
17,chapter_all_gpt-4o-mini_individual,the master,Mr. Rochester,4
17,chapter_all_gpt-4o-mini_individual,Mrs. Fairfax,Mrs. Fairfax,14
17,chapter_all_gpt-4o-mini_individual,Grace Poole,Grace Poole,1
17,chapter_all_gpt-4o-mini_individual,Mrs. Eshton,Mrs. Eshton,2
17,chapter_all_gpt-4o-mini_individual,Amy Eshton,Amy Eshton,3
17,chapter_all_gpt-4o-mini_individual,the eldest,Amy Eshton,1
17,chapter_all_gpt-4o-mini_individual,Louisa Eshton,Louisa Eshton,1
17,chapter_all_gpt-4o-mini_individual,the second,Louisa Eshton,2
17,chapter_all_gpt-4o-mini_individual,Mr. Eshton,Mr. Eshton,2
17,chapter_all_gpt-4o-mini_individual,Frederick Lynn,Frederick Lynn,2
17,chapter_all_gpt-4o-mini_individual,Henry Lynn,Henry Lynn,1
17,chapter_all_gpt-4o-mini_individual,Lord Ingram,Lord Ingram,4
17,chapter_all_gpt-4o-mini_individual,Sir George Lynn,Sir George Lynn,1
17,chapter_all_gpt-4o-mini_individual,Colonel Dent,Colonel Dent,5
17,chapter_all_gpt-4o-mini_individual,Blanche Ingram,Blanche Ingram,1
17,chapter_all_gpt-4o-mini_individual,Miss Ingram,Blanche Ingram,11
17,chapter_all_gpt-4o-mini_individual,Mary Ingram,Mary Ingram,1
29,chapter_all_gpt-4o-mini_individual,Mr. Brocklehurst,Mr. Brocklehurst,1
29,chapter_all_gpt-4o-mini_individual,Mrs. Reed,Reed,0
29,chapter_all_gpt-4o-mini_individual,Mr. Reed,Reed,0
29,chapter_all_gpt-4o-mini_individual,Hannah,Hannah,9
29,chapter_all_gpt-4o-mini_individual,Jane,Jane,1
29,chapter_all_gpt-4o-mini_individual,Miss Elliott,Jane,1
29,chapter_all_gpt-4o-mini_individual,Mr. St. John,Mr. Rivers,10
29,chapter_all_gpt-4o-mini_individual,Mr. Rivers,Mr. Rivers,7
29,chapter_all_gpt-4o-mini_individual,St. John Rivers,Mr. Rivers,1
29,chapter_all_gpt-4o-mini_individual,Mr. St. John,St. John Rivers,10
29,chapter_all_gpt-4o-mini_individual,St. John Rivers,St. John Rivers,1
29,chapter_all_gpt-4o-mini_individual,Mary Rivers,Mary Rivers,1
29,chapter_all_gpt-4o-mini_individual,Diana Rivers,Diana Rivers,0
15,chapter_all_gpt-4o-mini_individual,Mrs. Fairfax,Mrs. Fairfax,7
15,chapter_all_gpt-4o-mini_individual,Mr. Rochester,Mr. Rochester,9
15,chapter_all_gpt-4o-mini_individual,Miss Eyre,Jane,4
15,chapter_all_gpt-4o-mini_individual,Jane Eyre,Jane,1
15,chapter_all_gpt-4o-mini_individual,Grace Poole,Grace Poole,4
4,chapter_all_gpt-4o-mini_individual,Georgiana Reed,Georgiana Reed,0
4,chapter_all_gpt-4o-mini_individual,Mr. Brocklehurst,Mr. Brocklehurst,13
4,chapter_all_gpt-4o-mini_individual,Mr. Reed,Mr. Reed,0
4,chapter_all_gpt-4o-mini_individual,Aunt Reed,Reed,2
4,chapter_all_gpt-4o-mini_individual,Mrs. Reed,Mrs. Reed,31
4,chapter_all_gpt-4o-mini_individual,Jane Eyre,Jane,5
4,chapter_all_gpt-4o-mini_individual,Miss Jane,Jane,4
4,chapter_all_gpt-4o-mini_individual,Bessie Lee,Bessie,1
4,chapter_all_gpt-4o-mini_individual,John Reed,John Reed,1
4,chapter_all_gpt-4o-mini_individual,Miss Temple,Miss Temple,2
4,chapter_all_gpt-4o-mini_individual,Eliza Reed,Eliza Reed,0
4,chapter_all_gpt-4o-mini_individual,Abbot,Abbot,1
5,chapter_all_gpt-4o-mini_individual,Madame Pierrot,Madame Pierrot,2
5,chapter_all_gpt-4o-mini_individual,Georgiana Reed,Georgiana Reed,0
5,chapter_all_gpt-4o-mini_individual,Mr. Brocklehurst,Mr. Brocklehurst,3
5,chapter_all_gpt-4o-mini_individual,Miss Miller,Miss Miller,19
5,chapter_all_gpt-4o-mini_individual,Mrs. Reed,Reed,2
5,chapter_all_gpt-4o-mini_individual,Missis,Reed,2
5,chapter_all_gpt-4o-mini_individual,Mrs. Reed,Mrs. Reed,2
5,chapter_all_gpt-4o-mini_individual,Missis,Mrs. Reed,2
5,chapter_all_gpt-4o-mini_individual,Bessie,Bessie,9
5,chapter_all_gpt-4o-mini_individual,John Reed,John Reed,0
5,chapter_all_gpt-4o-mini_individual,Miss Temple,Miss Temple,6
5,chapter_all_gpt-4o-mini_individual,Maria Temple,Miss Temple,1
14,chapter_all_gpt-4o-mini_individual,Mr. Rochester,Mr. Rochester,9
14,chapter_all_gpt-4o-mini_individual,the master,Mr. Rochester,1
14,chapter_all_gpt-4o-mini_individual,the gentleman,Mr. Rochester,0
14,chapter_all_gpt-4o-mini_individual,sir,Mr. Rochester,26
14,chapter_all_gpt-4o-mini_individual,Mrs. Fairfax,Mrs. Fairfax,4
14,chapter_all_gpt-4o-mini_individual,madam,Mrs. Fairfax,1
28,chapter_all_gpt-4o-mini_individual,Mr. Rochester,Mr. Rochester,4
28,chapter_all_gpt-4o-mini_individual,Hannah,Hannah,15
28,chapter_all_gpt-4o-mini_individual,Jane Elliott,Jane,1
28,chapter_all_gpt-4o-mini_individual,Mr. St. John,St. John Rivers,7
28,chapter_all_gpt-4o-mini_individual,Mary,Mary Rivers,6
28,chapter_all_gpt-4o-mini_individual,Mr. Oliver,Mr. Oliver,2
28,chapter_all_gpt-4o-mini_individual,Diana,Diana Rivers,6
25,chapter_all_gpt-4o-mini_individual,Mr. Rochester,Mr. Rochester,7
25,chapter_all_gpt-4o-mini_individual,Edward,Mr. Rochester,1
25,chapter_all_gpt-4o-mini_individual,Georgiana Reed,Georgiana Reed,0
25,chapter_all_gpt-4o-mini_individual,Reed,Reed,0
25,chapter_all_gpt-4o-mini_individual,Mr. Mason,Mr. Mason,0
25,chapter_all_gpt-4o-mini_individual,Jane Rochester,Jane,1
25,chapter_all_gpt-4o-mini_individual,Janet,Jane,5
25,chapter_all_gpt-4o-mini_individual,Adele,Adele,0
25,chapter_all_gpt-4o-mini_individual,Grace Poole,Grace Poole,2
25,chapter_all_gpt-4o-mini_individual,Bessie,Bessie,0
25,chapter_all_gpt-4o-mini_individual,John Reed,John Reed,0
25,chapter_all_gpt-4o-mini_individual,Mrs. Fairfax,Mrs. Fairfax,2
25,chapter_all_gpt-4o-mini_individual,Eliza Reed,Eliza Reed,0
31,chapter_all_gpt-4o-mini_individual,Mr. Rochester,Mr. Rochester,1
31,chapter_all_gpt-4o-mini_individual,Miss Rosamond Oliver,Miss Rosamond Oliver,0
31,chapter_all_gpt-4o-mini_individual,Miss Oliver,Miss Rosamond Oliver,2
31,chapter_all_gpt-4o-mini_individual,Jane,Jane,0
31,chapter_all_gpt-4o-mini_individual,St. John Rivers,St. John Rivers,1
31,chapter_all_gpt-4o-mini_individual,Mr. Rivers,St. John Rivers,5
31,chapter_all_gpt-4o-mini_individual,Mary Rivers,Mary Rivers,0
31,chapter_all_gpt-4o-mini_individual,Mr. Oliver,Mr. Oliver,2
31,chapter_all_gpt-4o-mini_individual,Diana Rivers,Diana Rivers,1
19,chapter_all_gpt-4o-mini_individual,Mr. Rochester,Mr. Rochester,16
19,chapter_all_gpt-4o-mini_individual,sir,Mr. Rochester,18
19,chapter_all_gpt-4o-mini_individual,Mr. Mason,Mr. Mason,2
19,chapter_all_gpt-4o-mini_individual,Jane,Jane,9
19,chapter_all_gpt-4o-mini_individual,Miss Eyre,Jane,1
19,chapter_all_gpt-4o-mini_individual,Grace Poole,Grace Poole,1
19,chapter_all_gpt-4o-mini_individual,Mrs. Poole,Grace Poole,2
8,chapter_all_gpt-4o-mini_individual,Mr. Brocklehurst,Mr. Brocklehurst,5
8,chapter_all_gpt-4o-mini_individual,Mrs. Reed,Reed,3
8,chapter_all_gpt-4o-mini_individual,Jane Eyre,Jane,2
8,chapter_all_gpt-4o-mini_individual,Miss Temple,Miss Temple,16
8,chapter_all_gpt-4o-mini_individual,Helen Burns,Helen Burns,7
9,chapter_all_gpt-4o-mini_individual,Mr. Brocklehurst,Mr. Brocklehurst,1
9,chapter_all_gpt-4o-mini_individual,Mary Ann Wilson,Mary Ann Wilson,2
9,chapter_all_gpt-4o-mini_individual,Brocklehurst,Brocklehurst,1
9,chapter_all_gpt-4o-mini_individual,Jane,Jane,7
9,chapter_all_gpt-4o-mini_individual,Miss Temple,Miss Temple,8
9,chapter_all_gpt-4o-mini_individual,Helen Burns,Helen Burns,5
18,chapter_all_gpt-4o-mini_individual,Mr. Rochester,Mr. Rochester,24
18,chapter_all_gpt-4o-mini_individual,Mrs. Lynn,Mrs. Lynn,1
18,chapter_all_gpt-4o-mini_individual,Colonel Dent,Colonel Dent,9
18,chapter_all_gpt-4o-mini_individual,Mrs. Eshton,Mrs. Eshton,3
18,chapter_all_gpt-4o-mini_individual,Frederick Lynn,Frederick Lynn,1
18,chapter_all_gpt-4o-mini_individual,Mr. Eshton,Mr. Eshton,4
18,chapter_all_gpt-4o-mini_individual,Jane,Jane,0
18,chapter_all_gpt-4o-mini_individual,Grace Poole,Grace Poole,0
18,chapter_all_gpt-4o-mini_individual,Mr. Mason,Mr. Mason,2
18,chapter_all_gpt-4o-mini_individual,Bertha Mason,Bertha Mason,0
18,chapter_all_gpt-4o-mini_individual,Louisa Eshton,Louisa Eshton,4
18,chapter_all_gpt-4o-mini_individual,Mrs. Fairfax,Mrs. Fairfax,3
18,chapter_all_gpt-4o-mini_individual,Amy Eshton,Amy Eshton,2
18,chapter_all_gpt-4o-mini_individual,Sir George Lynn,Sir George Lynn,2
18,chapter_all_gpt-4o-mini_individual,Henry Lynn,Henry Lynn,2
18,chapter_all_gpt-4o-mini_individual,Lady Ingram,Lady Ingram,5
18,chapter_all_gpt-4o-mini_individual,Miss Ingram,Lady Ingram,23
30,chapter_all_gpt-4o-mini_individual,Jane,Jane,2
30,chapter_all_gpt-4o-mini_individual,Miss Oliver,Miss Oliver,1
30,chapter_all_gpt-4o-mini_individual,Mr. Rivers,Mr. Rivers,6
30,chapter_all_gpt-4o-mini_individual,Mr. St. John,St. John Rivers,1
30,chapter_all_gpt-4o-mini_individual,St. John Rivers,St. John Rivers,1
30,chapter_all_gpt-4o-mini_individual,Mary Rivers,Mary Rivers,2
30,chapter_all_gpt-4o-mini_individual,Mr. Oliver,Mr. Oliver,1
30,chapter_all_gpt-4o-mini_individual,Diana Rivers,Diana Rivers,0
24,chapter_all_gpt-4o-mini_individual,Mr. Rochester,Mr. Rochester,22
24,chapter_all_gpt-4o-mini_individual,sir,Mr. Rochester,38
24,chapter_all_gpt-4o-mini_individual,my master,Mr. Rochester,4
24,chapter_all_gpt-4o-mini_individual,Georgiana Reed,Georgiana Reed,0
24,chapter_all_gpt-4o-mini_individual,Mr. Brocklehurst,Mr. Brocklehurst,0
24,chapter_all_gpt-4o-mini_individual,Mrs. Reed,Reed,1
24,chapter_all_gpt-4o-mini_individual,Miss Reed,Reed,0
24,chapter_all_gpt-4o-mini_individual,Diana Rivers,Diana Rivers,0
24,chapter_all_gpt-4o-mini_individual,Bertha Mason,Bertha Mason,0
24,chapter_all_gpt-4o-mini_individual,Jane Eyre,Jane,3
24,chapter_all_gpt-4o-mini_individual,Janet,Jane,5
24,chapter_all_gpt-4o-mini_individual,Bessie,Bessie,0
24,chapter_all_gpt-4o-mini_individual,Céline Varens,Celine,2
24,chapter_all_gpt-4o-mini_individual,John Reed,John Reed,0
24,chapter_all_gpt-4o-mini_individual,Mary Rivers,Mary Rivers,0
24,chapter_all_gpt-4o-mini_individual,Miss Temple,Miss Temple,0
24,chapter_all_gpt-4o-mini_individual,Helen Burns,Helen Burns,0
24,chapter_all_gpt-4o-mini_individual,Mrs. Fairfax,Mrs. Fairfax,6
24,chapter_all_gpt-4o-mini_individual,St. John Rivers,St. John Rivers,0
24,chapter_all_gpt-4o-mini_individual,Céline Varens,Celine Varens,2
32,chapter_all_gpt-4o-mini_individual,Mr. Rochester,Mr. Rochester,1
32,chapter_all_gpt-4o-mini_individual,Adèle,Adele,1
32,chapter_all_gpt-4o-mini_individual,Mr. Rivers,St. John Rivers,5
32,chapter_all_gpt-4o-mini_individual,St. John Rivers,St. John Rivers,1
32,chapter_all_gpt-4o-mini_individual,Mr. Oliver,Mr. Oliver,4
26,chapter_all_gpt-4o-mini_individual,Richard Mason,Richard Mason,1
26,chapter_all_gpt-4o-mini_individual,Mr. Mason,Richard Mason,8
26,chapter_all_gpt-4o-mini_individual,Dick,Richard Mason,1
26,chapter_all_gpt-4o-mini_individual,Mr. Wood,Mr. Wood,4
26,chapter_all_gpt-4o-mini_individual,Mr. Rochester,Mr. Rochester,29
26,chapter_all_gpt-4o-mini_individual,Mr. Mason,Mr. Mason,8
26,chapter_all_gpt-4o-mini_individual,Jane,Jane,5
26,chapter_all_gpt-4o-mini_individual,Grace Poole,Grace Poole,3
26,chapter_all_gpt-4o-mini_individual,Mrs. Poole,Grace Poole,3
26,chapter_all_gpt-4o-mini_individual,Adèle,Adele,1
26,chapter_all_gpt-4o-mini_individual,Bertha Mason,Bertha Mason,2
26,chapter_all_gpt-4o-mini_individual,Mr. Briggs,Mr. Briggs,1
26,chapter_all_gpt-4o-mini_individual,Mrs. Fairfax,Mrs. Fairfax,2
27,chapter_all_gpt-4o-mini_individual,Mrs. Fairfax,Mrs. Fairfax,6
27,chapter_all_gpt-4o-mini_individual,Mr. Rochester,Mr. Rochester,13
27,chapter_all_gpt-4o-mini_individual,Edward Rochester,Mr. Rochester,1
27,chapter_all_gpt-4o-mini_individual,Bertha Mason,Bertha Mason,2
27,chapter_all_gpt-4o-mini_individual,_my wife_,Bertha Mason,3
27,chapter_all_gpt-4o-mini_individual,Jane,Jane,57
27,chapter_all_gpt-4o-mini_individual,my little darling,Jane,1
27,chapter_all_gpt-4o-mini_individual,my darling,Jane,2
27,chapter_all_gpt-4o-mini_individual,my dear master,Jane,1
33,chapter_all_gpt-4o-mini_individual,Mr. Rochester,Mr. Rochester,9
33,chapter_all_gpt-4o-mini_individual,Edward,Mr. Rochester,1
33,chapter_all_gpt-4o-mini_individual,Mrs. Reed,Reed,2
33,chapter_all_gpt-4o-mini_individual,Mrs. Reed,Mrs. Reed,2
33,chapter_all_gpt-4o-mini_individual,Jane Eyre,Jane,4
33,chapter_all_gpt-4o-mini_individual,Diana Rivers,Diana Rivers,0
33,chapter_all_gpt-4o-mini_individual,Mr. Briggs,Mr. Briggs,6
33,chapter_all_gpt-4o-mini_individual,St. John Rivers,St. John Rivers,1
33,chapter_all_gpt-4o-mini_individual,Mary Rivers,Mary Rivers,0
33,chapter_all_gpt-4o-mini_individual,Mr. Oliver,Mr. Oliver,2
37,chapter_all_gpt-4o-mini_individual,St. John Rivers,St. John Rivers,2
37,chapter_all_gpt-4o-mini_individual,Mr. Rochester,Mr. Rochester,11
37,chapter_all_gpt-4o-mini_individual,Edward Fairfax Rochester,Mr. Rochester,1
37,chapter_all_gpt-4o-mini_individual,Jane Eyre,Jane,3
23,chapter_all_gpt-4o-mini_individual,Mr. Rochester,Mr. Rochester,14
23,chapter_all_gpt-4o-mini_individual,Edward,Mr. Rochester,4
23,chapter_all_gpt-4o-mini_individual,sir,Mr. Rochester,16
23,chapter_all_gpt-4o-mini_individual,Mrs. Fairfax,Mrs. Fairfax,1
23,chapter_all_gpt-4o-mini_individual,dame Fairfax,Mrs. Fairfax,1
22,chapter_all_gpt-4o-mini_individual,Mr. Gibson,Mr. Gibson,1
22,chapter_all_gpt-4o-mini_individual,Mr. Rochester,Mr. Rochester,11
22,chapter_all_gpt-4o-mini_individual,Georgiana Reed,Georgiana Reed,0
22,chapter_all_gpt-4o-mini_individual,Reed,Reed,1
22,chapter_all_gpt-4o-mini_individual,Miss Ingram,Blanche Ingram,2
22,chapter_all_gpt-4o-mini_individual,Blanche Ingram,Blanche Ingram,0
22,chapter_all_gpt-4o-mini_individual,Mrs. Reed,Mrs. Reed,1
22,chapter_all_gpt-4o-mini_individual,Jane Eyre,Jane,2
22,chapter_all_gpt-4o-mini_individual,Mrs. Fairfax,Mrs. Fairfax,8
22,chapter_all_gpt-4o-mini_individual,Eliza Reed,Eliza Reed,0
22,chapter_all_gpt-4o-mini_individual,Georgiana,Georgiana,6
36,chapter_all_gpt-4o-mini_individual,Mr. Rochester,Mr. Rochester,10
36,chapter_all_gpt-4o-mini_individual,Mr. Edward,Mr. Rochester,6
36,chapter_all_gpt-4o-mini_individual,Bertha,Bertha Mason,1
36,chapter_all_gpt-4o-mini_individual,Mrs. Rochester,Bertha Mason,2
36,chapter_all_gpt-4o-mini_individual,the lunatic,Bertha Mason,0
36,chapter_all_gpt-4o-mini_individual,his lunatic wife,Bertha Mason,1
36,chapter_all_gpt-4o-mini_individual,Jane,Jane,1
36,chapter_all_gpt-4o-mini_individual,Miss Eyre,Jane,1
36,chapter_all_gpt-4o-mini_individual,Miss Adèle,Adele,1
36,chapter_all_gpt-4o-mini_individual,Mrs. Poole,Grace Poole,2
36,chapter_all_gpt-4o-mini_individual,Mr. Carter,Mr. Carter,1
36,chapter_all_gpt-4o-mini_individual,Mrs. Fairfax,Mrs. Fairfax,1
36,chapter_all_gpt-4o-mini_individual,Mr. St. John,St. John Rivers,0
36,chapter_all_gpt-4o-mini_individual,Mary,Mary Rivers,1
36,chapter_all_gpt-4o-mini_individual,Diana,Diana Rivers,2
20,chapter_all_gpt-4o-mini_individual,Mr. Rochester,Mr. Rochester,25
20,chapter_all_gpt-4o-mini_individual,Fairfax Rochester,Mr. Rochester,1
20,chapter_all_gpt-4o-mini_individual,Colonel Dent,Colonel Dent,1
20,chapter_all_gpt-4o-mini_individual,Mr. Mason,Mr. Mason,9
20,chapter_all_gpt-4o-mini_individual,Richard,Mr. Mason,6
20,chapter_all_gpt-4o-mini_individual,Jane,Jane,24
20,chapter_all_gpt-4o-mini_individual,Grace Poole,Grace Poole,3
20,chapter_all_gpt-4o-mini_individual,Mrs. Fairfax,Mrs. Fairfax,1
20,chapter_all_gpt-4o-mini_individual,Mr. Carter,Mr. Carter,0
34,chapter_all_gpt-4o-mini_individual,Hannah,Hannah,12
34,chapter_all_gpt-4o-mini_individual,Mr. Granby,Mr. Granby,1
34,chapter_all_gpt-4o-mini_individual,Jane,Jane,20
34,chapter_all_gpt-4o-mini_individual,Sir Frederic Granby,Sir Frederic Granby,1
34,chapter_all_gpt-4o-mini_individual,Miss Oliver,Miss Oliver,1
34,chapter_all_gpt-4o-mini_individual,Mr. Briggs,Mr. Briggs,2
34,chapter_all_gpt-4o-mini_individual,Mr. Rivers,Mr. Rivers,3
34,chapter_all_gpt-4o-mini_individual,Mary Rivers,Mary Rivers,0
34,chapter_all_gpt-4o-mini_individual,Diana Rivers,Diana Rivers,0
35,chapter_all_gpt-4o-mini_individual,Mr. Rochester,Mr. Rochester,2
35,chapter_all_gpt-4o-mini_individual,Edward Fairfax Rochester,Mr. Rochester,1
35,chapter_all_gpt-4o-mini_individual,Jane,Jane,12
35,chapter_all_gpt-4o-mini_individual,St. John Rivers,St. John Rivers,0
35,chapter_all_gpt-4o-mini_individual,Mary Rivers,Mary Rivers,0
35,chapter_all_gpt-4o-mini_individual,Diana Rivers,Diana Rivers,0
21,chapter_all_gpt-4o-mini_individual,Mr. Rochester,Mr. Rochester,9
21,chapter_all_gpt-4o-mini_individual,Georgiana Reed,Georgiana Reed,1
