chapter,method,text,character
7,span-based,passed her handkerchief over her lips,Miss Temple
7,span-based,gave the order,Miss Temple
7,span-based,assisted me to his very feet,Miss Temple
7,span-based,lifted her eyes,Helen Burns
7,span-based,returned to her place,Helen Burns
7,span-based,smiled at me as she again went by,Helen Burns
7,span-based,was charged with the care of the linen and the inspection of the dormitories,Miss Smith
7,span-based,sitting with a slate in my hand,Jane
7,span-based,stooped to pick up the two fragments of slate,Jane
7,span-based,was placed there,Jane
7,span-based,stood at Miss Temple’s side,Mr. Brocklehurst
7,span-based,buttoned up in a surtout,Mr. Brocklehurst
7,span-based,pointed to the awful object,Mr. Brocklehurst
7,span-based,scrutinised the reverse of these living medals,Mr. Brocklehurst
7,span-based,pronounced sentence,Mr. Brocklehurst
7,span-based,hemmed,Mr. Brocklehurst
7,span-based,adjusted the top button of his surtout,Mr. Brocklehurst
7,span-based,muttered something to his family,Mr. Brocklehurst
6,span-based,carrying in her hand a bundle of twigs tied together at one end,Helen Burns
6,span-based,presenting the bundle of twigs to Miss Scatcherd with a respectful curtsy,Helen Burns
6,span-based,unloosing her pinafore,Helen Burns
6,span-based,obeying the monitor without reply as without delay,Helen Burns
6,span-based,getting up to obey the monitor,Helen Burns
6,span-based,putting into my hands a border of muslin two yards long,Miss Smith
6,span-based,sending me to sit in a quiet corner of the schoolroom,Miss Smith
6,span-based,jumping over forms,Jane
6,span-based,creeping under tables,Jane
6,span-based,kneeling by the high wire fender,Jane
6,span-based,sitting down by Helen on the floor,Jane
17,span-based,looked at the direction,Mrs. Fairfax
17,span-based,broke the seal and perused the document,Mrs. Fairfax
17,span-based,assumed her best black satin gown,Mrs. Fairfax
17,span-based,hastened away to commence operations,Mrs. Fairfax
17,span-based,entered in rustling state,Mrs. Fairfax
17,span-based,went to the window,Mrs. Fairfax
17,span-based,sent John down to the gates,Mrs. Fairfax
17,span-based,"galloped up the drive on his black horse, Mesrour",Mr. Rochester
17,span-based,entered the drawing-room,Mr. Rochester
17,span-based,quitted the Eshtons,Mr. Rochester
17,span-based,sat at work in the schoolroom with the window open,Jane
17,span-based,tied the string of Adèle’s pinafore,Jane
17,span-based,helped Adèle to another bun,Jane
17,span-based,refilled Adèle's mug with milk,Jane
17,span-based,sought a back-stairs which conducted directly to the kitchen,Jane
17,span-based,"took possession of a cold chicken, a roll of bread, some tarts, a plate or two and a knife and fork",Jane
17,span-based,made a hasty retreat,Jane
17,span-based,took Adèle up in my arms and carried her off to bed,Jane
17,span-based,descended,Jane
17,span-based,took a rose from a vase and fastened it in Adèle's sash,Jane
17,span-based,retired to a window-seat,Jane
17,span-based,exited by the side-door,Jane
17,span-based,"looked into the bustling, topsy-turvy bedrooms",Grace Poole
17,span-based,passed on,Grace Poole
29,span-based,looked at me,St. John Rivers
29,span-based,stood considering me some minutes,St. John Rivers
29,span-based,took a seat,St. John Rivers
29,span-based,fixed his blue pictorial-looking eyes full on me,St. John Rivers
29,span-based,approached the table,St. John Rivers
29,span-based,closed his book,St. John Rivers
29,span-based,kindly and calmly expressed the pleasure she felt in seeing me well enough to be able to come down,Mary
29,span-based,took my hand,Mary
29,span-based,asked how I was,Mary
29,span-based,came in,Hannah
29,span-based,brought me some gruel and dry toast,Hannah
29,span-based,smiled,Hannah
29,span-based,pointed to the rocking-chair,Hannah
29,span-based,bustled about,Hannah
29,span-based,brought me a clean towel,Hannah
29,span-based,brought out a basket of gooseberries,Hannah
29,span-based,entered by the kitchen door,Diana Rivers
29,span-based,brought me a little cake,Diana Rivers
29,span-based,made me rise,Diana Rivers
29,span-based,placed me on the sofa,Diana Rivers
29,span-based,closed the door,Diana Rivers
29,span-based,put her white hand on my head,Diana Rivers
29,span-based,lay on it motionless as a stone,Jane
29,span-based,"could speak, move, rise in bed, and turn",Jane
29,span-based,felt comparatively strong and revived,Jane
29,span-based,wished to rise,Jane
29,span-based,covered deficiencies with a shawl,Jane
29,span-based,crept down a stone staircase with the aid of the banisters,Jane
29,span-based,picked the fruit,Jane
15,span-based,ran a race with Adèle,Jane
15,span-based,played a game of battledore and shuttlecock,Jane
15,span-based,removed Adèle's bonnet and coat,Jane
15,span-based,took Adèle on my knee,Jane
15,span-based,shook Mr. Rochester,Jane
15,span-based,rushed to his basin and ewer,Jane
15,span-based,heaved them up,Jane
15,span-based,deluged the bed,Jane
15,span-based,flew back to my own room,Jane
15,span-based,brought my own water-jug,Jane
15,span-based,baptized the couch afresh,Jane
15,span-based,flung a pitcher from my hand,Jane
15,span-based,hastily opened the door with a trembling hand,Jane
15,span-based,withdrew the bolt,Jane
15,span-based,rose and sat up in bed,Jane
15,span-based,listened,Jane
15,span-based,hurried on my frock and a shawl,Jane
15,span-based,stood watching Mr. Rochester,Jane
15,span-based,departed,Jane
15,span-based,laughed in a singular way,Grace Poole
15,span-based,was mentioned,Mrs. Fairfax
15,span-based,asked Jane to walk,Mr. Rochester
15,span-based,explained the situation about Céline,Mr. Rochester
15,span-based,ground his teeth,Mr. Rochester
15,span-based,arrested his step,Mr. Rochester
15,span-based,cast over Thornfield a glare,Mr. Rochester
15,span-based,lifted his eye to the hall,Mr. Rochester
15,span-based,went on his way after a pause,Mr. Rochester
15,span-based,mustered up his cloak,Mr. Rochester
15,span-based,took a candle from Jane,Mr. Rochester
15,span-based,held the candle up,Mr. Rochester
15,span-based,surveyed the bed,Mr. Rochester
15,span-based,set his candle down on the washstand,Mr. Rochester
15,span-based,unclosed the staircase door,Mr. Rochester
15,span-based,shut it after him,Mr. Rochester
15,span-based,re-entered,Mr. Rochester
15,span-based,set down his candle,Mr. Rochester
15,span-based,listened gravely,Mr. Rochester
4,span-based,thrust his tongue in his cheek,John Reed
4,span-based,attempted chastisement,John Reed
4,span-based,ran from me uttering execrations,John Reed
4,span-based,surveyed me at times with a severe eye,Mrs. Reed
4,span-based,appointed me a small closet to sleep in,Mrs. Reed
4,span-based,condemned me to take my meals alone,Mrs. Reed
4,span-based,swept me like a whirlwind into the nursery,Mrs. Reed
4,span-based,crushing me down on the edge of my crib,Mrs. Reed
4,span-based,shook me most soundly,Mrs. Reed
4,span-based,boxed both my ears,Mrs. Reed
4,span-based,left me without a word,Mrs. Reed
4,span-based,came up in the interval to seek her thimble or her scissors,Bessie
4,span-based,brought me something by way of supper,Bessie
4,span-based,sat on the bed while I ate,Bessie
4,span-based,tucked the clothes round me,Bessie
4,span-based,kissed me,Bessie
4,span-based,went down to breakfast,Bessie
4,span-based,came running upstairs into the nursery,Bessie
4,span-based,turned his head slowly towards where I stood,Mr. Brocklehurst
4,span-based,examined me with the two inquisitive-looking grey eyes,Mr. Brocklehurst
4,span-based,bent from the perpendicular,Mr. Brocklehurst
4,span-based,installed his person in the arm-chair,Mr. Brocklehurst
4,span-based,gathered enough of hope to suffice as a motive for wishing to get well,Jane
4,span-based,regained my normal state of health,Jane
4,span-based,turned against him,Jane
4,span-based,levelled at that prominent feature as hard a blow as my knuckles could inflict,Jane
4,span-based,undressed hastily,Jane
4,span-based,tugged at knots and strings as I best might,Jane
4,span-based,took my doll with me to my crib,Jane
4,span-based,sat down and endeavoured to read,Jane
4,span-based,opened the glass-door in the breakfast-room,Jane
4,span-based,covered my head and arms with the skirt of my frock,Jane
4,span-based,sat on a high stool,Georgiana Reed
4,span-based,dressed her hair at the glass,Georgiana Reed
4,span-based,interwove her curls with artificial flowers and faded feathers,Georgiana Reed
4,span-based,put on her bonnet and warm garden-coat,Eliza Reed
4,span-based,went to feed her poultry,Eliza Reed
5,span-based,kindling her fire,The porter's wife
5,span-based,watching the approaching coach,The porter's wife
5,span-based,asking questions about Jane's journey,The porter's wife
5,span-based,placing her hand on Jane's shoulder,Miss Temple
5,span-based,putting her candle down on the table,Miss Temple
5,span-based,giving commands for supper,Miss Temple
5,span-based,sponsoring the rebuilding of the institution,Naomi Brocklehurst
5,span-based,urging haste,The coachman
5,span-based,lifting Jane into the coach,The coachman
5,span-based,mounting his own seat,The coachman
5,span-based,bringing a candle,Bessie
5,span-based,lighting a fire,Bessie
5,span-based,making breakfast,Bessie
5,span-based,pressing Jane to eat,Bessie
5,span-based,wrapping Jane in her pelisse,Bessie
5,span-based,leaving the nursery with Jane,Bessie
5,span-based,lifting Jane inside the coach,The guard
5,span-based,returning to gather passengers during the stop,The guard
5,span-based,sounding his horn,The guard
5,span-based,helping Jane to undress,Miss Miller
5,span-based,calling out commands,Miss Miller
5,span-based,walking to various parts of the schoolroom,Miss Miller
5,span-based,leading Jane through the building,Miss Miller
5,span-based,overseeing operations at Lowood,Mr. Brocklehurst
5,span-based,rising from bed,Jane
5,span-based,washing her face,Jane
5,span-based,putting on her clothes,Jane
5,span-based,walking about in the inn,Jane
5,span-based,looking around the room,Jane
5,span-based,holding the book,Jane
5,span-based,walking through the school,Jane
5,span-based,waiting for the opportunity to talk,Jane
14,span-based,brushed Adèle's hair,Jane
14,span-based,made Adèle neat,Jane
14,span-based,ascertained her own appearance,Jane
14,span-based,descended,Jane
14,span-based,entered the dining-room,Jane
14,span-based,sat down,Jane
14,span-based,moved her chair,Jane
14,span-based,rose,Jane
14,span-based,deemed it useless to continue a discourse,Jane
14,span-based,rose to put Adèle to bed,Jane
14,span-based,"arrived, knitting-basket in hand",Mrs. Fairfax
14,span-based,rode out,Mr. Rochester
14,span-based,rang the bell,Mr. Rochester
14,span-based,drew a chair near his own,Mr. Rochester
14,span-based,looked round to the door,Mr. Rochester
14,span-based,half rising from his seat,Mr. Rochester
14,span-based,stood,Mr. Rochester
14,span-based,leaned his arm on the marble mantelpiece,Mr. Rochester
14,span-based,lifted up the sable waves of hair,Mr. Rochester
14,span-based,caught Jane's gaze,Mr. Rochester
14,span-based,rose from his chair,Mr. Rochester
14,span-based,folding his arms,Mr. Rochester
28,span-based,knocked at the kitchen-door,St. John Rivers
28,span-based,appealed to the door,St. John Rivers
28,span-based,lifted her head,Mary
28,span-based,removed my sodden bonnet,Mary
28,span-based,lifted my head,Mary
28,span-based,opened a door,Hannah
28,span-based,stirred a fire in an inner room,Hannah
28,span-based,wiped her eyes with her apron,Hannah
28,span-based,gave a piece of bread,Hannah
28,span-based,broke some bread,Diana Rivers
28,span-based,dipped it in milk,Diana Rivers
28,span-based,put it to my lips,Diana Rivers
28,span-based,touched the heath,Jane
28,span-based,looked at the sky,Jane
28,span-based,gathered a handful and ate them with the bread,Jane
28,span-based,rose to my knees,Jane
28,span-based,lay down,Jane
28,span-based,sat down under it,Jane
28,span-based,rose,Jane
28,span-based,"stood within that clean, bright kitchen",Jane
28,span-based,sank into it,Jane
28,span-based,sat,Jane
28,span-based,asked,Jane
28,span-based,drew near and knocked,Jane
28,span-based,asked if a servant was wanted,Jane
28,span-based,sat down under the hedge,Jane
28,span-based,brushed,Jane
28,span-based,dragged my exhausted limbs slowly towards it,Jane
28,span-based,rose and rallied my faculties,Jane
28,span-based,sank on the wet doorstep,Jane
25,span-based,removed my veil from its gaunt head,Grace Poole
25,span-based,rent it in two parts,Grace Poole
25,span-based,flinging both on the floor,Grace Poole
25,span-based,trampled on them,Grace Poole
25,span-based,drew aside the window-curtain,Grace Poole
25,span-based,looked out,Grace Poole
25,span-based,retreated to the door,Grace Poole
25,span-based,stopped at my bedside,Grace Poole
25,span-based,thrust up her candle close to my face,Grace Poole
25,span-based,extinguished it under my eyes,Grace Poole
25,span-based,took his hat off,Mr. Rochester
25,span-based,waved it round his head,Mr. Rochester
25,span-based,stretched out his hand,Mr. Rochester
25,span-based,bent from the saddle,Mr. Rochester
25,span-based,landed me on the pavement,Mr. Rochester
25,span-based,told me to make haste and put something dry on,Mr. Rochester
25,span-based,flung his arms round me,Mr. Rochester
25,span-based,drew his breath short,Mr. Rochester
25,span-based,strained me close to him,Mr. Rochester
25,span-based,lifted up the curtain,Mr. Rochester
25,span-based,packed trunks,Jane
25,span-based,locked trunks,Jane
25,span-based,corded trunks,Jane
25,span-based,shut the closet,Jane
25,span-based,ran before the wind,Jane
25,span-based,descended the laurel walk,Jane
25,span-based,gathered up the apples,Jane
25,span-based,divided the ripe from the unripe,Jane
25,span-based,carried apples into the house,Jane
25,span-based,put apples away in the store-room,Jane
25,span-based,repaired to the library,Jane
25,span-based,placed his arm-chair by the chimney-corner,Jane
25,span-based,wheeled the table near it,Jane
25,span-based,let down the curtain,Jane
25,span-based,had the candles brought in,Jane
25,span-based,ran down to the gates,Jane
25,span-based,walked fast,Jane
25,span-based,measured a quarter of a mile,Jane
25,span-based,wiped away a tear,Jane
25,span-based,set out,Jane
25,span-based,sprang up before him,Jane
25,span-based,sat down near him,Jane
25,span-based,stirred the fire,Jane
25,span-based,took a low seat at my master’s knee,Jane
25,span-based,lit my candle,Jane
25,span-based,prepared to leave him,Jane
25,span-based,promised to go to the nursery,Jane
25,span-based,quitted Adèle,Jane
31,span-based,leaned upon the gate with folded arms,St. John Rivers
31,span-based,knit his brow,St. John Rivers
31,span-based,examined my face,St. John Rivers
31,span-based,crushed the snowy heads of the closed flowers with his foot,St. John Rivers
31,span-based,lifted his gaze,St. John Rivers
31,span-based,turned at last with measured deliberation,St. John Rivers
31,span-based,touched her hand,St. John Rivers
31,span-based,left the gate,St. John Rivers
31,span-based,came home from S——,Miss Oliver
31,span-based,put on her bonnet,Miss Oliver
31,span-based,ran up the valley,Miss Oliver
31,span-based,caressed Carlo,Miss Oliver
31,span-based,patted the dog's head,Miss Oliver
31,span-based,held out her hand,Miss Oliver
31,span-based,turned twice to gaze after him,Miss Oliver
31,span-based,dismissed the little orphan who serves me as a handmaid,Jane
31,span-based,sat alone on the hearth,Jane
31,span-based,rose,Jane
31,span-based,went to my door,Jane
31,span-based,looked at the sunset,Jane
31,span-based,turned my face aside from the lovely sky,Jane
19,span-based,stood near the fire,Mr. Mason
19,span-based,talking to Colonel and Mrs. Dent,Mr. Mason
19,span-based,appeared as merry as any of them,Mr. Mason
19,span-based,stood near me,Mr. Rochester
19,span-based,took my hand,Mr. Rochester
19,span-based,gave my wrist a convulsive grip,Mr. Rochester
19,span-based,sat down,Mr. Rochester
19,span-based,made me sit beside him,Mr. Rochester
19,span-based,held my hand in both his own,Mr. Rochester
19,span-based,chafed it,Mr. Rochester
19,span-based,took the glass from my hand,Mr. Rochester
19,span-based,swallowed the contents,Mr. Rochester
19,span-based,returned it to me,Mr. Rochester
19,span-based,spoke cheerfully,Mr. Rochester
19,span-based,"said, 'This way, Mason; this is your room.'",Mr. Rochester
19,span-based,stood on the rug,Jane
19,span-based,warmed my hands,Jane
19,span-based,gave her a shilling,Jane
19,span-based,held out my hand,Jane
19,span-based,knelt,Jane
19,span-based,stirred the fire,Jane
19,span-based,got up,Jane
19,span-based,looked,Jane
19,span-based,looked again,Jane
19,span-based,broke the string,Jane
19,span-based,filled a wine-glass,Jane
19,span-based,returned to the library,Jane
19,span-based,went,Jane
19,span-based,sought Mr. Mason,Jane
19,span-based,delivered the message,Jane
19,span-based,ushered him into the library,Jane
19,span-based,went upstairs,Jane
8,span-based,sat down,Miss Temple
8,span-based,took her hand and examined her pulse,Miss Temple
8,span-based,got up,Miss Temple
8,span-based,unlocked a drawer,Miss Temple
8,span-based,proceeded to cut slices with a generous hand,Miss Temple
8,span-based,embraced us both,Miss Temple
8,span-based,drew us to her heart,Miss Temple
8,span-based,wiped a tear from her cheek,Miss Temple
8,span-based,sat down on the ground,Helen Burns
8,span-based,embraced her knees with her arms,Helen Burns
8,span-based,rested her head upon them,Helen Burns
8,span-based,chafed my fingers gently,Helen Burns
8,span-based,drew me to her,Helen Burns
8,span-based,cough,Helen Burns
8,span-based,obeyed,Helen Burns
8,span-based,wore the sign on her forehead patiently,Helen Burns
8,span-based,ventured to descend,Jane
8,span-based,retired into a corner,Jane
8,span-based,sank prostrate with my face to the ground,Jane
8,span-based,wept,Jane
8,span-based,put my hand into hers,Jane
8,span-based,put my arms round her waist,Jane
8,span-based,ran to Helen,Jane
8,span-based,tore it off and thrust it into the fire,Jane
9,span-based,lived in the sick-room,Miss Temple
9,span-based,quitting it except to snatch a few hours’ rest at night,Miss Temple
9,span-based,called to a delirious patient in the fever-room,Miss Temple
9,span-based,stirred herself,Helen Burns
9,span-based,put back the curtain,Helen Burns
9,span-based,looked so little changed,Helen Burns
9,span-based,smiled as of old,Helen Burns
9,span-based,whispered,Helen Burns
9,span-based,coughing seized Helen,Helen Burns
9,span-based,lay some minutes exhausted,Helen Burns
9,span-based,put her arm over me,Helen Burns
9,span-based,went into the house,Mary Ann Wilson
9,span-based,separated ourselves from the others,Mary Ann Wilson
9,span-based,wandered far,Mary Ann Wilson
9,span-based,rose softly,Jane
9,span-based,put on my frock over my night-dress,Jane
9,span-based,crept from the apartment,Jane
9,span-based,descended a staircase,Jane
9,span-based,traversed a portion of the house below,Jane
9,span-based,"opened and shutting, without noise, two doors",Jane
9,span-based,mounted another flight of steps,Jane
9,span-based,came near,Jane
9,span-based,put it back and looked in,Jane
9,span-based,advanced,Jane
9,span-based,paused by the crib side,Jane
9,span-based,got on to her crib,Jane
9,span-based,kissed her,Jane
9,span-based,nested close to her,Jane
9,span-based,lay with my face hidden on her neck,Jane
9,span-based,clasped my arms closer round Helen,Jane
9,span-based,awoke,Jane
9,span-based,looked up,Jane
9,span-based,was in somebody’s arms,Jane
9,span-based,was being carried through the passage back to the dormitory,Jane
