chapter,method,turn_id,text,speaker,character
10,span-based,42,"Missis looks stout and well enough in the face, but I think she’s not quite easy in her mind: Mr. John’s conduct does not please her—he spends a deal of money.",Bessie,Mrs. Reed
10,span-based,42,"Missis looks stout and well enough in the face, but I think she’s not quite easy in her mind: Mr. John’s conduct does not please her—he spends a deal of money.",Bessie,John Reed
10,span-based,43,"Did she send you here, Bessie?",Jane,Mrs. Reed
10,span-based,43,"Did she send you here, Bessie?",Jane,Bessie
10,span-based,44,"No, indeed: but I have long wanted to see you, and when I heard that there had been a letter from you, and that you were going to another part of the country, I thought I’d just set off, and get a look at you before you were quite out of my reach.",Bessie,Jane
10,span-based,45,"I am afraid you are disappointed in me, Bessie.",Jane,Bessie
10,span-based,46,"No, Miss Jane, not exactly: you are genteel enough; you look like a lady, and it is as much as ever I expected of you: you were no beauty as a child.",Bessie,Jane
10,span-based,47,"I dare say you are clever, though,",Bessie,Jane
10,span-based,48,What can you do?,Bessie,Jane
10,span-based,48,Can you play on the piano?,Bessie,Jane
10,span-based,51,I always said you would surpass them in learning: and can you draw?,Bessie,Jane
10,span-based,53,"Well, that is beautiful, Miss Jane!",Bessie,Jane
10,span-based,53,"It is as fine a picture as any Miss Reed’s drawing-master could paint, let alone the young ladies themselves, who could not come near it: and have you learnt French?",Bessie,Georgiana Reed
10,span-based,54,"Yes, Bessie, I can both read it and speak it.",Jane,Bessie
10,span-based,55,And you can work on muslin and canvas?,Bessie,Jane
10,span-based,57,"Oh, you are quite a lady, Miss Jane!",Bessie,Jane
10,span-based,57,I knew you would be: you will get on whether your relations notice you or not.,Bessie,Jane
10,span-based,57,There was something I wanted to ask you.,Bessie,Jane
10,span-based,57,"Have you ever heard anything from your father’s kinsfolk, the Eyres?",Bessie,Jane
10,span-based,59,"Well, you know Missis always said they were poor and quite despicable: and they may be poor; but I believe they are as much gentry as the Reeds are; for one day, nearly seven years ago, a Mr. Eyre came to Gateshead and wanted to see you; Missis said you were at school fifty miles off; he seemed so much disappointed, for he could not stay: he was going on a voyage to a foreign country, and the ship was to sail from London in a day or two.",Bessie,Mrs. Reed
10,span-based,59,"Well, you know Missis always said they were poor and quite despicable: and they may be poor; but I believe they are as much gentry as the Reeds are; for one day, nearly seven years ago, a Mr. Eyre came to Gateshead and wanted to see you; Missis said you were at school fifty miles off; he seemed so much disappointed, for he could not stay: he was going on a voyage to a foreign country, and the ship was to sail from London in a day or two.",Bessie,Jane
10,span-based,59,"He looked quite a gentleman, and I believe he was your father’s brother.",Bessie,Jane
10,span-based,60,"What foreign country was he going to, Bessie?",Bessie,Bessie
10,span-based,65,Yes; he did not stay many minutes in the house: Missis was very high with him; she called him afterwards a ‘sneaking tradesman.’ My Robert believes he was a wine-merchant.,Bessie,Mrs. Reed
38,span-based,0,"Mary, I have been married to Mr. Rochester this morning.",Mary,Mr. Rochester
38,span-based,0,"Mary, I have been married to Mr. Rochester this morning.",Mary,Mary
38,span-based,2,"I seed you go out with the master, but I didn’t know you were gone to church to be wed;",Mary,Mr. Rochester
38,span-based,3,"I telled Mary how it would be,",,Mary
38,span-based,4,I knew what Mr. Edward,,Mr. Rochester
38,span-based,5,"I knew what Mr. Edward would do; and I was certain he would not wait long neither: and he’s done right, for aught I know.",,Mr. Rochester
38,span-based,6,"Thank you, John.",,Miss Temple
38,span-based,6,Mr. Rochester told me to give you and Mary this.,,Mr. Rochester
38,span-based,6,Mr. Rochester told me to give you and Mary this.,,Mary
38,span-based,7,She’ll happen do better for him nor ony o’ t’ grand ladies.,Mary,Mr. Rochester
38,span-based,8,"If she ben’t one o’ th’ handsomest, she’s noan faâl and varry good-natured; and i’ his een she’s fair beautiful, onybody may see that.",Mary,Mr. Rochester
38,span-based,15,"My Master,",St. John Rivers,Mr. Rochester
1,span-based,0,"She regretted to be under the necessity of keeping me at a distance; but that until she heard from Bessie, and could discover by her own observation, that I was endeavouring in good earnest to acquire a more sociable and childlike disposition, a more attractive and sprightly manner—something lighter, franker, more natural, as it were—she really must exclude me from privileges intended only for contented, happy, little children.",Mrs. Reed,Jane
1,span-based,0,"She regretted to be under the necessity of keeping me at a distance; but that until she heard from Bessie, and could discover by her own observation, that I was endeavouring in good earnest to acquire a more sociable and childlike disposition, a more attractive and sprightly manner—something lighter, franker, more natural, as it were—she really must exclude me from privileges intended only for contented, happy, little children.",Mrs. Reed,Bessie
1,span-based,1,What does Bessie say I have done?,Jane,Bessie
1,span-based,2,"Jane, I don’t like cavillers or questioners; besides, there is something truly forbidding in a child taking up her elders in that manner.",Mrs. Reed,Jane
1,span-based,2,"Be seated somewhere; and until you can speak pleasantly, remain silent.",Mrs. Reed,Jane
1,span-based,6,Madam Mope!,John Reed,Jane
1,span-based,7,Where the dickens is she!,John Reed,Jane
1,span-based,8,Lizzy!,John Reed,Eliza Reed
1,span-based,8,Georgy!,John Reed,Georgiana Reed
1,span-based,8,(calling to his sisters) Joan is not here: tell mama she is run out into the rain—bad animal!,John Reed,Jane
1,span-based,8,(calling to his sisters) Joan is not here: tell mama she is run out into the rain—bad animal!,John Reed,Mrs. Reed
1,span-based,10,"She is in the window-seat, to be sure, Jack.",Eliza Reed,John Reed
1,span-based,12,"Say, ‘What do you want, Master Reed?’",John Reed,Jane
1,span-based,13,I want you to come here;,John Reed,Jane
1,span-based,14,on account of his delicate health.,Mrs. Reed,John Reed
1,span-based,15,"That is for your impudence in answering mama awhile since,",John Reed,Jane
1,span-based,15,"That is for your impudence in answering mama awhile since,",John Reed,Mrs. Reed
1,span-based,16,"and for your sneaking way of getting behind curtains, and for the look you had in your eyes two minutes since, you rat!",John Reed,Jane
1,span-based,17,What were you doing behind the curtain?,John Reed,Jane
1,span-based,20,"You have no business to take our books; you are a dependent, mama says; you have no money; your father left you none; you ought to beg, and not to live here with gentlemen’s children like us, and eat the same meals we do, and wear clothes at our mama’s expense.",John Reed,Jane
1,span-based,20,"Now, I’ll teach you to rummage my bookshelves: for they _are_ mine; all the house belongs to me, or will do in a few years.",John Reed,Jane
1,span-based,21,Wicked and cruel boy!,Jane,John Reed
1,span-based,22,You are like a murderer—you are like a slave-driver—you are like the Roman emperors!,Jane,John Reed
1,span-based,24,Did she say that to me?,John Reed,Jane
1,span-based,24,"Did you hear her, Eliza and Georgiana?",John Reed,Jane
1,span-based,24,"Did you hear her, Eliza and Georgiana?",John Reed,Eliza Reed
1,span-based,24,"Did you hear her, Eliza and Georgiana?",John Reed,Georgiana Reed
1,span-based,24,Won’t I tell mama?,John Reed,Mrs. Reed
1,span-based,26,What a fury to fly at Master John!,Mrs. Reed,Jane
1,span-based,26,What a fury to fly at Master John!,Mrs. Reed,John Reed
1,span-based,28,"Take her away to the red-room, and lock her in there.",Mrs. Reed,Jane
11,span-based,3,"Is your name Eyre, Miss?",Mrs. Fairfax,Jane
11,span-based,5,Person here waiting for you.,Mrs. Fairfax,Jane
11,span-based,6,"This will be your luggage, I suppose?",,Jane
11,span-based,12,"judging from the plainness of the servant and carriage, Mrs. Fairfax is not a very dashing person: so much the better; I never lived amongst fine people but once, and I was very miserable with them.",Jane,Mrs. Fairfax
11,span-based,12,"I wonder if she lives alone except this little girl; if so, and if she is in any degree amiable, I shall surely be able to get on with her; I will do my best; it is a pity that doing one’s best does not always answer.",Jane,Mrs. Fairfax
11,span-based,12,"I wonder if she lives alone except this little girl; if so, and if she is in any degree amiable, I shall surely be able to get on with her; I will do my best; it is a pity that doing one’s best does not always answer.",Jane,Celine
11,span-based,12,"I pray God Mrs. Fairfax may not turn out a second Mrs. Reed; but if she does, I am not bound to stay with her!",Jane,Mrs. Fairfax
11,span-based,14,"Will you walk this way, ma’am?",Mrs. Fairfax,Jane
11,span-based,15,"How do you do, my dear?",Mrs. Fairfax,Jane
11,span-based,15,"I am afraid you have had a tedious ride; John drives so slowly; you must be cold, come to the fire.",Mrs. Fairfax,Jane
11,span-based,16,"Mrs. Fairfax, I suppose?",Jane,Mrs. Fairfax
11,span-based,17,"Yes, you are right: do sit down.",Mrs. Fairfax,Jane
11,span-based,18,"Oh, it is no trouble; I dare say your own hands are almost numbed with cold.",Mrs. Fairfax,Jane
11,span-based,19,"Now, then, draw nearer to the fire,",Mrs. Fairfax,Jane
11,span-based,20,"You’ve brought your luggage with you, haven’t you, my dear?",Mrs. Fairfax,Jane
11,span-based,22,"I’ll see it carried into your room,",Mrs. Fairfax,Jane
11,span-based,25,Shall I have the pleasure of seeing Miss Fairfax to-night?,Jane,Mrs. Fairfax
11,span-based,26,"What did you say, my dear?",Mrs. Fairfax,Jane
11,span-based,27,Miss Fairfax?,Mrs. Fairfax,Celine
11,span-based,27,"Oh, you mean Miss Varens!",Mrs. Fairfax,Celine Varens
11,span-based,27,Varens is the name of your future pupil.,Mrs. Fairfax,Jane
11,span-based,27,Varens is the name of your future pupil.,Mrs. Fairfax,Celine Varens
11,span-based,28,Then she is not your daughter?,Jane,Celine Varens
11,span-based,28,Then she is not your daughter?,Jane,Mrs. Fairfax
11,span-based,31,I am so glad you are come; it will be quite pleasant living here now with a companion.,Mrs. Fairfax,Jane
11,span-based,31,"To be sure it is pleasant at any time; for Thornfield is a fine old hall, rather neglected of late years perhaps, but still it is a respectable place; yet you know in winter-time one feels dreary quite alone in the best quarters.",Mrs. Fairfax,Jane
11,span-based,31,"I say alone—Leah is a nice girl to be sure, and John and his wife are very decent people; but then you see they are only servants, and one can’t converse with them on terms of equality: one must keep them at due distance, for fear of losing one’s authority.",Mrs. Fairfax,Jane
11,span-based,31,"I’m sure last winter (it was a very severe one, if you recollect, and when it did not snow, it rained and blew), not a creature but the butcher and postman came to the house, from November till February; and I really got quite melancholy with sitting night after night alone; I had Leah in to read to me sometimes; but I don’t think the poor girl liked the task much: she felt it confining.",Mrs. Fairfax,Jane
11,span-based,31,"In spring and summer one got on better: sunshine and long days make such a difference; and then, just at the commencement of this autumn, little Adela Varens came and her nurse: a child makes a house alive all at once; and now you are here I shall be quite gay.",Mrs. Fairfax,Jane
11,span-based,31,"In spring and summer one got on better: sunshine and long days make such a difference; and then, just at the commencement of this autumn, little Adela Varens came and her nurse: a child makes a house alive all at once; and now you are here I shall be quite gay.",Mrs. Fairfax,Celine Varens
11,span-based,32,"But I’ll not keep you sitting up late to-night,",Mrs. Fairfax,Jane
11,span-based,33,"it is on the stroke of twelve now, and you have been travelling all day: you must feel tired.",Mrs. Fairfax,Jane
11,span-based,33,"If you have got your feet well warmed, I’ll show you your bedroom.",Mrs. Fairfax,Jane
11,span-based,33,"I’ve had the room next to mine prepared for you; it is only a small apartment, but I thought you would like it better than one of the large front chambers: to be sure they have finer furniture, but they are so dreary and solitary, I never sleep in them myself.",Mrs. Fairfax,Jane
11,span-based,35,I see you are an early riser.,Mrs. Fairfax,Jane
11,span-based,36,How do you like Thornfield?,Mrs. Fairfax,Jane
11,span-based,38,"it is a pretty place; but I fear it will be getting out of order, unless Mr. Rochester should take it into his head to come and reside here permanently; or, at least, visit it rather oftener: great houses and fine grounds require the presence of the proprietor.",Mrs. Fairfax,Mr. Rochester
11,span-based,39,Mr. Rochester!,Jane,Mr. Rochester
11,span-based,40,Who is he?,Jane,Mr. Rochester
11,span-based,41,"The owner of Thornfield,",Mrs. Fairfax,Mr. Rochester
11,span-based,42,Did you not know he was called Rochester?,Mrs. Fairfax,Mr. Rochester
11,span-based,45,"Bless you, child; what an idea!",Mrs. Fairfax,Jane
11,span-based,45,I am only the housekeeper—the manager.,Mrs. Fairfax,Mr. Rochester
11,span-based,45,"To be sure I am distantly related to the Rochesters by the mother’s side, or at least my husband was; he was a clergyman, incumbent of Hay—that little village yonder on the hill—and that church near the gates was his.",Mrs. Fairfax,Mr. Rochester
11,span-based,45,"The present Mr. Rochester’s mother was a Fairfax, and second cousin to my husband: but I never presume on the connection—in fact, it is nothing to me; I consider myself quite in the light of an ordinary housekeeper: my employer is always civil, and I expect nothing more.",Mrs. Fairfax,Mr. Rochester
11,span-based,47,She is Mr. Rochester’s ward; he commissioned me to find a governess for her.,Mrs. Fairfax,Mr. Rochester
11,span-based,47,"He intended to have her brought up in ——shire, I believe.",Mrs. Fairfax,Mr. Rochester
11,span-based,47,"Here she comes, with her ‘bonne,’ as she calls her nurse.",Mrs. Fairfax,Celine
11,span-based,48,"Good morning, Miss Adela,",Jane,Celine
11,span-based,49,"Come and speak to the lady who is to teach you, and to make you a clever woman some day.",Mrs. Fairfax,Jane
11,span-based,50,C’est là ma gouvernante!,,Jane
11,span-based,52,Are they foreigners?,Jane,Mrs. Fairfax
11,span-based,53,"The nurse is a foreigner, and Adela was born on the Continent; and, I believe, never left it till within six months ago.",Mrs. Fairfax,Grace Poole
11,span-based,53,"The nurse is a foreigner, and Adela was born on the Continent; and, I believe, never left it till within six months ago.",Mrs. Fairfax,Celine
11,span-based,53,"The nurse is a foreigner, and Adela was born on the Continent; and, I believe, never left it till within six months ago.",Mrs. Fairfax,Celine Varens
11,span-based,53,"When she first came here she could speak no English; now she can make shift to talk it a little: I don’t understand her, she mixes it so with French; but you will make out her meaning very well, I dare say.",Mrs. Fairfax,Jane
11,span-based,55,"you speak my language as well as Mr. Rochester does: I can talk to you as I can to him, and so can Sophie.",,Jane
11,span-based,55,"you speak my language as well as Mr. Rochester does: I can talk to you as I can to him, and so can Sophie.",,Mr. Rochester
11,span-based,55,"you speak my language as well as Mr. Rochester does: I can talk to you as I can to him, and so can Sophie.",,Grace Poole
11,span-based,55,"Sophie is my nurse; she came with me over the sea in a great ship with a chimney that smoked—how it did smoke!—and I was sick, and so was Sophie, and so was Mr. Rochester.",,Grace Poole
11,span-based,55,"Sophie is my nurse; she came with me over the sea in a great ship with a chimney that smoked—how it did smoke!—and I was sick, and so was Sophie, and so was Mr. Rochester.",,Mr. Rochester
11,span-based,55,"Mr. Rochester lay down on a sofa in a pretty room called the salon, and Sophie and I had little beds in another place.",,Mr. Rochester
11,span-based,55,I nearly fell out of mine; it was like a shelf.,,Celine
11,span-based,56,Eyre—Jane Eyre.,Jane,Jane
11,span-based,57,"Well, our ship stopped in the morning, before it was quite daylight, at a great city—a huge city, with very dark houses and all smoky; not at all like the pretty clean town I came from; and Mr. Rochester carried me in his arms over a plank to the land, and Sophie came after, and we all got into a coach, which took us to a beautiful large house, larger than this and finer, called an hotel.",,Mr. Rochester
11,span-based,57,"Well, our ship stopped in the morning, before it was quite daylight, at a great city—a huge city, with very dark houses and all smoky; not at all like the pretty clean town I came from; and Mr. Rochester carried me in his arms over a plank to the land, and Sophie came after, and we all got into a coach, which took us to a beautiful large house, larger than this and finer, called an hotel.",,Celine Varens
11,span-based,57,"We stayed there nearly a week: I and Sophie used to walk every day in a great green place full of trees, called the Park; and there were many children there besides me, and a pond with beautiful birds in it, that I fed with crumbs.",,Celine Varens
11,span-based,58,Can you understand her when she runs on so fast?,Mrs. Fairfax,Celine
11,span-based,60,you would ask her a question or two about her parents: I wonder if she remembers them?,Mrs. Fairfax,Jane
11,span-based,61,"Adèle,",,Celine Varens
11,span-based,63,I lived long ago with mama; but she is gone to the Holy Virgin.,,Celine Varens
11,span-based,63,"Mama used to teach me to dance and sing, and to say verses.",,Celine Varens
11,span-based,63,"A great many gentlemen and ladies came to see mama, and I used to dance before them, or to sit on their knees and sing to them: I liked it.",,Celine
11,span-based,63,"A great many gentlemen and ladies came to see mama, and I used to dance before them, or to sit on their knees and sing to them: I liked it.",,Celine Varens
11,span-based,63,Shall I let you hear me sing now?,,Jane
11,span-based,64,"Now, Mademoiselle, I will repeat you some poetry.",,Jane
11,span-based,66,Was it your mama who taught you that piece?,Jane,Celine
11,span-based,67,"Yes, and she just used to say it in this way: ‘Qu’avez vous donc?",,Celine Varens
11,span-based,67,lui dit un de ces rats; parlez!’ She made me lift my hand—so—to remind me to raise my voice at the question.,,Celine Varens
11,span-based,67,Now shall I dance for you?,,Jane
11,span-based,68,"No, that will do: but after your mama went to the Holy Virgin, as you say, with whom did you live then?",Jane,Celine Varens
11,span-based,69,"I think she is poor, for she had not so fine a house as mama.",,Celine
11,span-based,69,I was not long there.,,Celine
11,span-based,69,"Mr. Rochester asked me if I would like to go and live with him in England, and I said yes; for I knew Mr. Rochester before I knew Madame Frédéric, and he was always kind to me and gave me pretty dresses and toys: but you see he has not kept his word, for he has brought me to England, and now he is gone back again himself, and I never see him.",,Mr. Rochester
11,span-based,69,"Mr. Rochester asked me if I would like to go and live with him in England, and I said yes; for I knew Mr. Rochester before I knew Madame Frédéric, and he was always kind to me and gave me pretty dresses and toys: but you see he has not kept his word, for he has brought me to England, and now he is gone back again himself, and I never see him.",,Celine
11,span-based,70,"Your morning school-hours are over now, I suppose,",Mrs. Fairfax,Jane
11,span-based,73,"In what order you keep these rooms, Mrs. Fairfax!",Jane,Mrs. Fairfax
11,span-based,75,"Why, Miss Eyre, though Mr. Rochester’s visits here are rare, they are always sudden and unexpected; and as I observed that it put him out to find everything swathed up, and to have a bustle of arrangement on his arrival, I thought it best to keep the rooms in readiness.",Mrs. Fairfax,Jane
11,span-based,75,"Why, Miss Eyre, though Mr. Rochester’s visits here are rare, they are always sudden and unexpected; and as I observed that it put him out to find everything swathed up, and to have a bustle of arrangement on his arrival, I thought it best to keep the rooms in readiness.",Mrs. Fairfax,Mr. Rochester
11,span-based,76,"Is Mr. Rochester an exacting, fastidious sort of man?",Mrs. Fairfax,Mr. Rochester
11,span-based,77,"Not particularly so; but he has a gentleman’s tastes and habits, and he expects to have things managed in conformity to them.",Mrs. Fairfax,Mr. Rochester
11,span-based,78,Do you like him?,Mrs. Fairfax,Mr. Rochester
11,span-based,78,Is he generally liked?,Mrs. Fairfax,Mr. Rochester
11,span-based,79,"Oh, yes; the family have always been respected here.",Mrs. Fairfax,Mr. Rochester
11,span-based,79,"Almost all the land in this neighbourhood, as far as you can see, has belonged to the Rochesters time out of mind.",Mrs. Fairfax,Mr. Rochester
11,span-based,80,"Well, but, leaving his land out of the question, do you like him?",Mrs. Fairfax,Mr. Rochester
11,span-based,80,Is he liked for himself?,Mrs. Fairfax,Mr. Rochester
11,span-based,81,_I_ have no cause to do otherwise than like him; and I believe he is considered a just and liberal landlord by his tenants: but he has never lived much amongst them.,Mrs. Fairfax,Mr. Rochester
11,span-based,82,But has he no peculiarities?,Mrs. Fairfax,Mr. Rochester
11,span-based,82,"What, in short, is his character?",Mrs. Fairfax,Mr. Rochester
11,span-based,83,"his character is unimpeachable, I suppose.",Mrs. Fairfax,Mr. Rochester
11,span-based,83,"He is rather peculiar, perhaps: he has travelled a great deal, and seen a great deal of the world, I should think.",Mrs. Fairfax,Mr. Rochester
11,span-based,83,"I dare say he is clever, but I never had much conversation with him.",Mrs. Fairfax,Mr. Rochester
11,span-based,84,In what way is he peculiar?,Mrs. Fairfax,Mr. Rochester
11,span-based,85,"I don’t know—it is not easy to describe—nothing striking, but you feel it when he speaks to you; you cannot be always sure whether he is in jest or earnest, whether he is pleased or the contrary; you don’t thoroughly understand him, in short—at least, I don’t: but it is of no consequence, he is a very good master.",Mrs. Fairfax,Mr. Rochester
11,span-based,88,"So I think: you have no ghost, then?",Jane,Mrs. Fairfax
11,span-based,93,"Where are you going now, Mrs. Fairfax?",Jane,Mrs. Fairfax
11,span-based,94,On to the leads; will you come and see the view from thence?,Mrs. Fairfax,Jane
11,span-based,95,Mrs. Fairfax!,Mrs. Fairfax,Mrs. Fairfax
11,span-based,96,Did you hear that loud laugh?,Jane,Mrs. Fairfax
11,span-based,98,perhaps Grace Poole.,Mrs. Fairfax,Grace Poole
11,span-based,99,Did you hear it?,Jane,Mrs. Fairfax
11,span-based,100,"Yes, plainly: I often hear her: she sews in one of these rooms.",Mrs. Fairfax,Jane
11,span-based,100,"Yes, plainly: I often hear her: she sews in one of these rooms.",Mrs. Fairfax,Grace Poole
11,span-based,100,Sometimes Leah is with her; they are frequently noisy together.,Mrs. Fairfax,Grace Poole
11,span-based,102,"Too much noise, Grace,",Mrs. Fairfax,Grace Poole
11,span-based,105,"not altogether unobjectionable in some points, but she does well enough.",Mrs. Fairfax,Grace Poole
11,span-based,105,"By-the-bye, how have you got on with your new pupil this morning?",Mrs. Fairfax,Jane
11,span-based,106,"Mesdames, vous êtes servies!",,Celine
13,span-based,0,"ami, Monsieur Edouard Fairfax _de_ Rochester,",,Mr. Rochester
13,span-based,2,"qu’il y aura là dedans un cadeau pour moi, et peut-être pour vous aussi, mademoiselle.",,Jane
13,span-based,2,"Monsieur a parlé de vous: il m’a demandé le nom de ma gouvernante, et si elle n’était pas une petite personne, assez mince et un peu pâle.",,Mr. Rochester
13,span-based,2,"Monsieur a parlé de vous: il m’a demandé le nom de ma gouvernante, et si elle n’était pas une petite personne, assez mince et un peu pâle.",,Jane
13,span-based,2,"J’ai dit qu’oui: car c’est vrai, n’est-ce pas, mademoiselle?",,Jane
13,span-based,3,"Mr. Rochester would be glad if you and your pupil would take tea with him in the drawing-room this evening,",Mrs. Fairfax,Mr. Rochester
13,span-based,3,"Mr. Rochester would be glad if you and your pupil would take tea with him in the drawing-room this evening,",Mrs. Fairfax,Jane
13,span-based,3,"Mr. Rochester would be glad if you and your pupil would take tea with him in the drawing-room this evening,",Mrs. Fairfax,Georgiana Reed
13,span-based,4,he has been so much engaged all day that he could not ask to see you before.,Mrs. Fairfax,Mr. Rochester
13,span-based,4,he has been so much engaged all day that he could not ask to see you before.,Mrs. Fairfax,Jane
13,span-based,5,When is his tea-time?,Jane,Mr. Rochester
13,span-based,6,"Oh, at six o’clock: he keeps early hours in the country.",Mrs. Fairfax,Mr. Rochester
13,span-based,6,You had better change your frock now; I will go with you and fasten it.,Mrs. Fairfax,Jane
13,span-based,8,"Yes, you had better: I always dress for the evening when Mr. Rochester is here.",Mrs. Fairfax,Jane
13,span-based,8,"Yes, you had better: I always dress for the evening when Mr. Rochester is here.",Mrs. Fairfax,Mr. Rochester
13,span-based,10,"Here is Miss Eyre, sir,",Mrs. Fairfax,Jane
13,span-based,10,"Here is Miss Eyre, sir,",Mrs. Fairfax,Mr. Rochester
13,span-based,11,"Let Miss Eyre be seated,",Mr. Rochester,Jane
13,span-based,12,At this moment I am not disposed to accost her.,Mr. Rochester,Jane
13,span-based,14,Will you hand Mr. Rochester’s cup?,Mrs. Fairfax,Mr. Rochester
13,span-based,16,"N’est-ce pas, monsieur, qu’il y a un cadeau pour Mademoiselle Eyre dans votre petit coffre?",,Mr. Rochester
13,span-based,18,"Did you expect a present, Miss Eyre?",Mr. Rochester,Jane
13,span-based,21,"I should be obliged to take time, sir, before I could give you an answer worthy of your acceptance: a present has many faces to it, has it not?",Jane,Mr. Rochester
13,span-based,22,"Miss Eyre, you are not so unsophisticated as Adèle: she demands a ‘cadeau,’ clamorously, the moment she sees me: you beat about the bush.",Mr. Rochester,Jane
13,span-based,23,"Because I have less confidence in my deserts than Adèle has: she can prefer the claim of old acquaintance, and the right too of custom; for she says you have always been in the habit of giving her playthings; but if I had to make out a case I should be puzzled, since I am a stranger, and have done nothing to entitle me to an acknowledgment.",Jane,Mr. Rochester
13,span-based,24,"I have examined Adèle, and find you have taken great pains with her: she is not bright, she has no talents; yet in a short time she has made much improvement.",Mr. Rochester,Jane
13,span-based,25,"Sir, you have now given me my ‘cadeau;’ I am obliged to you: it is the meed teachers most covet—praise of their pupils’ progress.",Jane,Mr. Rochester
13,span-based,27,"Come to the fire,",Mr. Rochester,Jane
13,span-based,29,"Yes, sir.",Jane,Mr. Rochester
13,span-based,30,And you came from—?,Mr. Rochester,Jane
13,span-based,32,How long were you there?,Mr. Rochester,Jane
13,span-based,34,you must be tenacious of life.,Mr. Rochester,Jane
13,span-based,34,No wonder you have rather the look of another world.,Mr. Rochester,Jane
13,span-based,34,I marvelled where you had got that sort of face.,Mr. Rochester,Jane
13,span-based,34,"When you came on me in Hay Lane last night, I thought unaccountably of fairy tales, and had half a mind to demand whether you had bewitched my horse: I am not sure yet.",Mr. Rochester,Jane
13,span-based,34,Who are your parents?,Mr. Rochester,Jane
